      lambda       flux         err
      8820.88      51872.3          NaN
      8823.30      63982.9      20080.2
      8825.72      48230.0      14022.8
      8828.15      55699.7      18921.8
      8830.57      33220.5      7622.86
      8833.00      36769.2      16657.4
      8835.42      32455.0      12042.0
      8837.84      61021.2      16124.4
      8840.27      58805.7      4514.42
      8842.69      21224.0      5268.98
      8845.12      10695.7      10976.9
      8847.54      27112.2      10236.6
      8849.96      29855.0      19037.2
      8852.39      27491.0      17283.6
      8854.81      38738.2      14045.4
      8857.24      43370.4      18138.6
      8859.66      39206.7      4888.03
      8862.08      28126.7      9381.26
      8864.51      45727.8      15373.8
      8866.93      37855.1      19436.9
      8869.36      30129.4      16767.2
      8871.78      31659.9      14259.4
      8874.20      23806.1      12962.7
      8876.63      32664.6      11649.8
      8879.05      23628.8      15288.8
      8881.48      24285.8      15296.8
      8883.90      29503.5      7218.32
      8886.32      31026.3      17804.2
      8888.75      28308.9      14389.6
      8891.17      31672.7      6437.39
      8893.60      38206.2      15965.8
      8896.02      23182.1      16866.1
      8898.44      25751.7      15798.9
      8900.87      39584.8      6581.07
      8903.29      28665.3      9120.49
      8905.72      25736.6      18560.0
      8908.14      29589.1      10357.5
      8910.56      37591.5      6697.88
      8912.99      32253.9      16259.0
      8915.41      24843.2      8158.31
      8917.84      11279.1      13012.9
      8920.26      17766.3      13331.5
      8922.68      31276.0      6200.47
      8925.11      33232.9      10412.1
      8927.53      31903.8      6817.69
      8929.96      23932.4      7602.34
      8932.38      31315.8      9218.13
      8934.81      29060.3      12571.9
      8937.23      30226.3      14022.8
      8939.65      28152.7      12202.5
      8942.08      26189.2      8539.28
      8944.50      25069.0      10603.5
      8946.93      29078.9      11616.7
      8949.35      49964.7      9184.09
      8951.77      25319.0      22929.4
      8954.20      41295.5      9696.13
      8956.62      36122.6      11478.3
      8959.05      26965.5      6540.20
      8961.47      33242.2      7450.87
      8963.89      39480.7      6229.30
      8966.32      18791.1      14604.3
      8968.74      38315.0      27055.9
      8971.17      24513.5      12973.0
      8973.59      41202.7      14011.7
      8976.01      64436.7      15204.3
      8978.44      40954.4      13256.2
      8980.86      26924.0      18077.0
      8983.29      50726.3      4127.63
      8985.71      43803.2      6957.76
      8988.13      39456.3      6709.83
      8990.56      29071.2      9931.92
      8992.98      36736.2      8678.03
      8995.41      25081.2      7511.08
      8997.83      49222.0      14057.0
      9000.25      29160.3      13019.0
      9002.68      28689.8      17315.7
      9005.10      31603.8      9600.31
      9007.53      26326.7      15130.2
      9009.95      35368.3      23007.6
      9012.38      45686.9      18823.6
      9014.80      31575.9      10602.9
      9017.22      37339.7      8875.28
      9019.65      46582.3      17556.2
      9022.07      39186.8      10386.4
      9024.50      45012.1      4349.68
      9026.92      45620.5      14546.2
      9029.34      50975.6      11521.8
      9031.77      41136.9      8830.09
      9034.19      31794.0      7749.52
      9036.62      56451.5      12255.3
      9039.04      40694.4      11908.3
      9041.46      56026.0      13415.8
      9043.89      46023.3      10794.6
      9046.31      65419.2      20428.1
      9048.74      42896.2      16820.1
      9051.16      34194.6      14778.9
      9053.58      36915.3      10163.0
      9056.01      63949.1      15059.2
      9058.43      55861.4      12380.7
      9060.86      39012.3      4183.44
      9063.28      36889.8      19868.8
      9065.70      33685.1      10196.8
      9068.13      48680.5      10365.8
      9070.55      55018.2      17715.2
      9072.98      43032.5      15369.2
      9075.40      44635.5      5036.85
      9077.82      35350.1      6153.90
      9080.25      45225.7      6004.02
      9082.67      45787.5      10361.1
      9085.10      37881.8      17856.2
      9087.52      19093.4      10121.8
      9089.94      33661.7      5365.26
      9092.37      33391.2      10413.6
      9094.79      51171.8      10350.6
      9097.22      36075.4      8361.08
      9099.64      45478.3      11720.0
      9102.06      45553.2      6760.35
      9104.49      58640.7      14814.2
      9106.91      35358.6      14439.4
      9109.34      62614.5      17603.0
      9111.76      30715.0      16395.7
      9114.19      55226.9      12743.1
      9116.61      39263.7      11869.6
      9119.03      43349.4      3878.89
      9121.46      27563.8      13023.1
      9123.88      36091.4      7557.85
      9126.31      53111.3      4937.39
      9128.73      60432.4      12266.6
      9131.15      41917.8      12581.3
      9133.58      43218.0      15498.0
      9136.00      64902.6      13627.0
      9138.43      54039.8      8745.34
      9140.85      46741.9      9005.78
      9143.27      57264.0      7333.68
      9145.70      37809.7      16321.1
      9148.12      66040.5      11172.1
      9150.55      40897.8      11965.1
      9152.97      49749.7      11263.4
      9155.39      68090.6      13553.9
      9157.82      62141.9      20279.1
      9160.24      54340.7      11983.3
      9162.67      40179.5      11636.6
      9165.09      36654.9      4831.45
      9167.51      39446.5      3537.36
      9169.94      36880.9      14252.4
      9172.36      64461.9      14154.6
      9174.79      43293.3      10140.8
      9177.21      48755.3      15361.4
      9179.63      46506.3      14947.0
      9182.06      53459.8      13111.6
      9184.48      49514.5      14430.8
      9186.91      41751.7      17062.5
      9189.33      57154.6      6803.56
      9191.75      44196.3      15481.1
      9194.18      70252.0      9601.04
      9196.60      56604.6      7201.72
      9199.03      48191.1      7625.17
      9201.45      37916.4      13140.4
      9203.88      60687.9      7050.15
      9206.30      46191.1      6333.91
      9208.72      51693.0      14591.5
      9211.15      55035.9      11860.5
      9213.57      47895.2      7791.99
      9216.00      43317.9      12461.7
      9218.42      52112.9      6067.58
      9220.84      46808.4      8304.24
      9223.27      53325.4      16357.4
      9225.69      52402.4      11321.7
      9228.12      50318.5      5103.85
      9230.54      44609.6      22439.7
      9232.96      25864.1      4512.22
      9235.39      51759.4      17528.0
      9237.81      43369.4      8006.83
      9240.24      34822.7      10263.6
      9242.66      36731.2      9589.48
      9245.08      42881.6      14585.2
      9247.51      36282.9      21364.9
      9249.93      27398.1      11856.0
      9252.36      39116.2      16430.8
      9254.78      47831.0      8223.30
      9257.20      47721.6      9268.52
      9259.63      46737.1      14648.4
      9262.05      38786.7      11687.0
      9264.48      54068.3      13440.7
      9266.90      46010.8      15183.1
      9269.32      57828.5      14091.8
      9271.75      37033.7      9258.11
      9274.17      43581.1      8312.63
      9276.60      28207.4      10071.2
      9279.02      44457.9      7965.38
      9281.44      34127.5      6747.03
      9283.87      46025.0      10620.4
      9286.29      36000.4      15213.1
      9288.72      32622.0      10997.5
      9291.14      41074.8      12720.2
      9293.57      30933.4      13190.4
      9295.99      35500.8      13121.5
      9298.41      47078.9      2987.68
      9300.84      20787.4      21885.1
      9303.26      56214.4      20403.8
      9305.69      40442.3      22706.5
      9308.11      39975.8      18441.2
      9310.53      40763.6      18959.4
      9312.96      22253.6      17532.6
      9315.38      34108.4      12604.6
      9317.81      38723.7      11501.9
      9320.23      23452.8      16127.2
      9322.65      26403.7      15154.9
      9325.08      47018.4      9142.05
      9327.50      64491.1      17587.6
      9329.93      35064.9      26988.2
      9332.35      68773.0      15518.5
      9334.77      42058.2      9431.12
      9337.20      56237.3      9980.70
      9339.62      43668.4      15027.7
      9342.05      61938.3      13232.5
      9344.47      42430.4      11915.0
      9346.89      48270.3      12174.8
      9349.32      55286.1      9523.01
      9351.74      36798.5      11430.7
      9354.17      34464.2      11414.9
      9356.59      37002.5      5422.78
      9359.01      33246.1      8286.55
      9361.44      47413.6      16009.4
      9363.86      29667.7      15068.7
      9366.29      27463.1      14697.9
      9368.71      28782.0      9806.52
      9371.13      42895.1      10208.2
      9373.56      36906.3      10795.8
      9375.98      46795.2      13495.3
      9378.41      42890.1      10127.2
      9380.83      42177.6      6256.54
      9383.25      35362.4      10074.2
      9385.68      34340.0      7369.94
      9388.10      33329.0      9049.38
      9390.53      40761.5      15443.1
      9392.95      30278.9      4709.62
      9395.38      38726.0      7399.65
      9397.80      27564.2      5354.08
      9400.22      29876.2      9618.15
      9402.65      31710.8      12033.8
      9405.07      35025.4      5735.14
      9407.50      26060.7      4515.26
      9409.92      40899.1      6579.25
      9412.34      32935.6      10078.9
      9414.77      41950.1      12377.5
      9417.19      30535.3      8080.85
      9419.62      32579.6      6104.08
      9422.04      34193.1      12892.4
      9424.46      36378.0      10001.6
      9426.89      42104.2      9854.31
      9429.31      44590.3      12927.7
      9431.74      42850.3      9720.75
      9434.16      34711.2      15304.8
      9436.58      30963.1      5461.84
      9439.01      31917.4      7962.34
      9439.62      38494.5      5443.76
      9442.38      44920.9      4282.51
      9445.15      37140.1      6541.46
      9447.91      37021.0      3833.40
      9450.68      30533.3      3442.61
      9453.44      34810.7      6683.51
      9456.21      40340.4      5528.97
      9458.97      41065.3      5705.81
      9461.73      34810.8      10015.4
      9464.50      39446.1      4718.75
      9467.26      37261.0      6858.19
      9470.03      42096.2      4539.37
      9472.79      33893.9      7813.50
      9475.56      38291.6      8099.72
      9478.32      39501.4      8266.27
      9481.08      44343.9      2072.98
      9483.85      38430.7      3544.95
      9486.61      37913.0      5159.72
      9489.38      36532.5      3055.82
      9492.14      35855.9      4059.38
      9494.91      36019.5      4622.95
      9497.67      37269.8      4466.17
      9500.44      44384.2      8040.22
      9503.20      52240.0      5886.83
      9505.96      47609.0      4101.50
      9508.73      43192.5      823.668
      9511.49      37855.6      5033.68
      9514.26      36234.4      6837.66
      9517.02      40653.6      4274.61
      9519.79      41288.2      6194.17
      9522.55      43043.4      6639.37
      9525.32      43454.1      5887.20
      9528.08      42167.1      2499.89
      9530.85      43336.5      3081.67
      9533.61      50634.5      8629.66
      9536.37      43787.8      4247.40
      9539.14      42732.0      4939.37
      9541.90      41430.3      3489.78
      9544.67      44589.4      4061.47
      9547.43      53219.3      5818.44
      9550.20      46741.6      4728.29
      9552.96      49748.9      5552.72
      9555.73      50884.5      6740.70
      9558.49      44838.3      3791.78
      9561.25      51730.2      4956.00
      9564.02      50494.8      13365.6
      9566.78      40143.4      8857.83
      9569.55      46713.3      9340.32
      9572.31      45481.8      3369.43
      9575.08      44323.9      4838.99
      9577.84      50326.1      3324.32
      9580.61      46120.2      6926.52
      9583.37      44331.8      6069.58
      9586.13      45524.9      3972.72
      9588.90      43479.5      7166.57
      9591.66      41351.2      3974.66
      9594.43      45137.6      5595.42
      9597.19      49417.4      4004.27
      9599.96      44424.6      2060.82
      9602.72      43613.9      6283.21
      9605.49      49286.7      5885.72
      9608.25      50757.1      8740.01
      9611.01      48409.3      3229.68
      9613.78      44447.7      2932.80
      9616.54      41551.7      6256.48
      9619.31      46643.0      6347.86
      9622.07      39189.7      7766.23
      9624.84      46603.4      6422.97
      9627.60      47718.3      8876.54
      9630.37      48442.3      9404.23
      9633.13      46251.9      2340.33
      9635.90      41454.4      2403.56
      9638.66      37891.1      2845.44
      9641.42      38830.7      6145.88
      9644.19      43245.4      4934.36
      9646.95      45845.9      6284.60
      9649.72      43339.3      2640.80
      9652.48      43991.2      3827.57
      9655.25      46858.7      4844.76
      9658.01      43582.2      1879.89
      9660.78      46541.8      1167.31
      9663.54      46269.1      3620.15
      9666.30      44982.1      2397.01
      9669.07      46906.3      5650.24
      9671.83      40343.3      5408.51
      9674.60      39131.4      3765.07
      9677.36      38908.9      2057.77
      9680.13      39793.2      3014.01
      9682.89      40689.5      2939.07
      9685.66      41749.1      4003.19
      9688.42      38986.8      4902.36
      9691.18      41197.4      2586.75
      9693.95      45632.4      2453.98
      9696.71      43820.7      2998.28
      9699.48      41221.9      3187.55
      9702.24      40955.2      2812.01
      9705.01      43055.9      1443.38
      9707.77      44048.2      2739.86
      9710.54      40090.9      2541.22
      9713.30      45230.0      3678.35
      9716.06      42691.6      2819.42
      9718.83      42988.7      2059.06
      9721.59      38979.9      4253.68
      9724.36      41086.5      3584.73
      9727.12      43613.7      4528.25
      9729.89      39616.6      3004.97
      9732.65      37277.6      1688.78
      9735.42      35493.1      2896.96
      9738.18      34775.6      1187.44
      9740.95      38082.8      2424.73
      9743.71      38130.2      4286.21
      9746.47      38633.0      2139.57
      9749.24      39827.9      1711.00
      9752.00      36126.3      2015.36
      9754.77      38702.9      2632.76
      9757.53      43335.9      2361.89
      9760.30      40528.7      3064.02
      9763.06      42467.5      1282.79
      9765.83      41351.9      2598.60
      9768.59      43765.9      1831.02
      9771.35      41140.1      940.980
      9774.12      39235.0      4577.00
      9776.88      38283.5      1579.89
      9779.65      38710.9      2400.26
      9782.41      40743.3      1502.00
      9785.18      41147.3      1695.20
      9787.94      42278.6      2906.46
      9790.71      40307.5      2398.60
      9793.47      39037.1      3226.97
      9796.23      40022.9      4131.26
      9799.00      46812.0      4217.79
      9801.76      42502.8      1881.12
      9804.53      42928.5      1559.45
      9807.29      47936.0      1492.28
      9810.06      44431.2      4097.71
      9812.82      41625.3      3163.81
      9815.59      44167.2      2159.64
      9818.35      41422.3      2172.58
      9821.11      40864.0      1903.72
      9823.88      43128.9      1879.21
      9826.64      42990.8      1705.23
      9829.41      42977.2      2005.23
      9832.17      43755.6      3700.20
      9834.94      42343.4      3044.17
      9837.70      42784.1      5105.08
      9840.47      40195.7      1900.53
      9843.23      40390.2      1231.78
      9846.00      41650.2      850.059
      9848.76      41792.4      3378.42
      9851.52      43323.2      2750.93
      9854.29      42199.4      3892.98
      9857.05      42074.6      2872.62
      9859.82      42646.4      3038.30
      9862.58      43287.8      3328.88
      9865.35      41046.8      4400.30
      9868.11      42585.8      2179.27
      9870.88      44340.0      1523.81
      9873.64      43430.9      1411.27
      9876.40      45471.3      2881.85
      9879.17      43610.4      4485.55
      9881.93      43356.9      2177.76
      9884.70      42836.2      2639.23
      9887.46      41575.2      2745.41
      9890.23      44220.0      756.688
      9892.99      43031.8      1191.47
      9895.76      42995.6      932.938
      9898.52      39183.6      2722.42
      9901.28      38185.0      3759.98
      9904.05      35854.0      1994.72
      9906.81      32769.0      2868.87
      9909.58      32235.5      1980.57
      9912.34      34417.0      2432.77
      9915.11      32214.6      2513.21
      9917.87      33159.2      2513.67
      9920.64      32287.6      1720.17
      9923.40      34037.6      1946.88
      9926.16      34477.4      3207.77
      9928.93      31454.9      1530.55
      9931.69      34167.6      2570.82
      9934.46      35578.6      849.343
      9937.22      35415.9      1803.41
      9939.99      37429.7      2684.02
      9942.75      37870.6      2078.42
      9945.52      36916.6      1916.49
      9948.28      36759.0      2337.73
      9951.04      36054.9      1936.91
      9953.81      40423.9      2447.46
      9956.57      38679.7      3857.38
      9959.34      41227.0      2349.11
      9962.10      41636.0      1825.70
      9964.87      41557.7      2723.78
      9967.63      39169.1      1177.61
      9970.40      38209.8      1606.44
      9973.16      39733.4      1551.30
      9975.92      40063.1      2492.74
      9978.69      37738.3      1304.21
      9981.45      36945.4      2199.76
      9984.22      40426.8      2009.09
      9986.98      38940.4      1061.48
      9989.75      41145.3      18051.3
      9992.51      38510.2      15109.8
      9995.28      39852.2      2189.51
      9998.04      40494.2      338.292
      10000.8      38797.7      2861.46
      10003.6      40909.3      2395.81
      10006.3      40243.6      2471.56
      10009.1      43086.0      1467.72
      10011.9      41911.6      1441.31
      10014.6      39180.1      745.920
      10017.4      39845.7      1935.54
      10020.2      41290.1      1875.68
      10022.9      42689.6      1724.14
      10025.7      39820.4      2898.83
      10028.5      40304.7      861.625
      10031.2      39441.6      3083.98
      10034.0      40055.0      1088.88
      10036.7      37909.1      2232.85
      10039.5      40101.3      1136.96
      10042.3      39427.1      1232.07
      10045.0      39673.8      1923.78
      10047.8      40374.8      1962.20
      10050.6      38726.0      2914.65
      10053.3      37277.6      1489.97
      10056.1      39380.3      1128.63
      10058.9      36750.3      2600.01
      10061.6      37944.6      1291.30
      10064.4      38588.5      1731.97
      10067.2      40468.3      2066.15
      10069.9      40543.7      1399.52
      10072.7      43299.6      2342.37
      10075.4      42301.0      5230.09
      10078.2      40802.3      2924.77
      10081.0      40671.4      3517.54
      10083.7      44179.0      3324.89
      10086.5      39664.1      2596.98
      10089.3      42196.8      1219.59
      10092.0      42769.9      2198.92
      10094.8      42682.4      2004.91
      10097.6      42477.6      2477.36
      10100.3      44498.9      1676.98
      10103.1      43491.3      2317.44
      10105.9      43152.9      2317.39
      10108.6      43395.3      2016.21
      10111.4      40339.3      2058.02
      10114.1      41193.1      2833.44
      10116.9      41180.7      2477.76
      10119.7      44259.8      1932.97
      10122.4      45518.7      2420.18
      10125.2      42225.0      1213.18
      10128.0      45547.0      1367.70
      10130.7      43710.1      2185.74
      10133.5      43297.7      653.240
      10136.3      40605.1      1862.92
      10139.0      41901.5      2785.41
      10141.8      40794.5      1038.39
      10144.6      41395.7      2737.81
      10147.3      41160.1      1454.78
      10150.1      39603.1      3214.51
      10152.9      40892.3      2275.99
      10155.6      42823.6      827.755
      10158.4      39308.8      1980.15
      10161.1      40740.1      2393.52
      10163.9      42184.5      2952.41
      10166.7      39334.4      2602.97
      10169.4      40872.4      2470.56
