      lambda       flux         err
      8844.78      104776.          NaN
      8847.20      130577.      8049.40
      8849.62      148517.      11782.8
      8852.04      126265.      12866.2
      8854.46      108364.      7402.59
      8856.88      125566.      14534.2
      8859.30      126800.      8844.58
      8861.72      119438.      6881.18
      8864.14      107017.      15917.4
      8866.57      91886.3      14613.8
      8868.99      104725.      9757.27
      8871.41      110773.      15704.2
      8873.83      94857.4      9873.93
      8876.25      98169.9      8671.74
      8878.67      91477.9      7704.97
      8881.09      86839.6      4585.75
      8883.51      100658.      16495.3
      8885.93      104867.      21035.2
      8888.35      100320.      8819.92
      8890.77      118192.      7447.06
      8893.19      109908.      5472.38
      8895.61      100737.      10720.7
      8898.04      89840.8      3902.17
      8900.46      91397.0      11513.8
      8902.88      105541.      18086.9
      8905.30      106849.      6887.12
      8907.72      124023.      13449.5
      8910.14      101565.      16323.2
      8912.56      131923.      19510.7
      8914.98      106963.      9926.59
      8917.40      106487.      12524.2
      8919.82      114599.      4517.05
      8922.24      122376.      11216.7
      8924.66      119368.      7687.43
      8927.08      100042.      4804.12
      8929.50      95223.2      9342.12
      8931.93      114156.      6467.13
      8934.35      112458.      13777.7
      8936.77      98911.2      4964.61
      8939.19      104356.      10334.0
      8941.61      103074.      9753.87
      8944.03      103599.      17937.9
      8946.45      107689.      15939.5
      8948.87      111003.      5188.58
      8951.29      95523.4      2984.69
      8953.71      79037.7      6943.15
      8956.13      93085.5      9018.67
      8958.55      92856.8      7331.92
      8960.97      100999.      8548.59
      8963.40      86850.6      9481.27
      8965.82      115454.      9956.19
      8968.24      111159.      12392.6
      8970.66      99837.8      16177.2
      8973.08      99079.6      7351.57
      8975.50      119593.      13825.3
      8977.92      110495.      4892.89
      8980.34      111038.      7709.19
      8982.76      114769.      3622.09
      8985.18      126823.      8701.60
      8987.60      121632.      14526.8
      8990.02      124277.      10040.5
      8992.44      134063.      8425.51
      8994.87      118305.      5370.57
      8997.29      119083.      5255.71
      8999.71      130854.      6302.24
      9002.13      107048.      9935.32
      9004.55      129353.      14221.0
      9006.97      144179.      18095.7
      9009.39      128531.      10811.0
      9011.81      133088.      8303.74
      9014.23      124923.      5068.64
      9016.65      117578.      6734.19
      9019.07      118678.      5604.51
      9021.49      124701.      10217.7
      9023.91      132298.      9784.30
      9026.33      108691.      17444.9
      9028.76      103473.      14771.5
      9031.18      150913.      12137.0
      9033.60      129889.      8526.90
      9036.02      120483.      5968.30
      9038.44      128692.      6774.53
      9040.86      124247.      5638.82
      9043.28      138373.      14366.0
      9045.70      122435.      7936.02
      9048.12      133632.      6347.97
      9050.54      131384.      9775.42
      9052.96      120211.      4654.48
      9055.38      132179.      6218.59
      9057.80      131504.      9500.88
      9060.23      136896.      2751.23
      9062.65      135905.      10891.1
      9065.07      132399.      2201.65
      9067.49      142321.      10425.2
      9069.91      122351.      5899.38
      9072.33      118889.      13093.6
      9074.75      122919.      4084.02
      9077.17      131628.      5453.14
      9079.59      121128.      13010.2
      9082.01      132061.      14105.7
      9084.43      123408.      16886.2
      9086.85      161669.      14239.3
      9089.27      134355.      12006.7
      9091.70      137971.      11367.0
      9094.12      126948.      12738.7
      9096.54      144409.      8545.12
      9098.96      146571.      12540.8
      9101.38      148998.      3018.67
      9103.80      127384.      3383.51
      9106.22      144829.      10161.5
      9108.64      151601.      6699.85
      9111.06      140947.      7278.97
      9113.48      121879.      6684.69
      9115.90      131412.      19432.2
      9118.32      127921.      11729.1
      9120.74      146551.      9436.52
      9123.17      151059.      15797.9
      9125.59      161338.      11251.7
      9128.01      142406.      4574.75
      9130.43      120930.      4945.07
      9132.85      149662.      9900.71
      9135.27      155721.      24050.6
      9137.69      167810.      10276.3
      9140.11      170344.      15385.0
      9142.53      138692.      5366.54
      9144.95      172363.      14772.1
      9147.37      130969.      2738.27
      9149.79      147613.      2514.24
      9152.21      143183.      3908.08
      9154.63      165449.      8025.52
      9157.06      160312.      13923.3
      9159.48      142874.      8059.32
      9161.90      142189.      10160.0
      9164.32      147455.      3966.87
      9166.74      143329.      6665.08
      9169.16      158613.      9359.94
      9171.58      160376.      14119.7
      9174.00      128886.      8087.16
      9176.42      150421.      9223.63
      9178.84      151380.      5003.70
      9181.26      142431.      11281.5
      9183.68      132834.      12475.7
      9186.10      144629.      10980.5
      9188.53      169674.      14445.8
      9190.95      138771.      5013.67
      9193.37      165155.      12717.4
      9195.79      167565.      3435.85
      9198.21      162199.      4323.06
      9200.63      133999.      14667.4
      9203.05      156015.      8454.29
      9205.47      147195.      8262.62
      9207.89      144758.      7048.08
      9210.31      142913.      6590.78
      9212.73      140969.      9795.05
      9215.15      120003.      9246.54
      9217.57      124639.      12129.9
      9220.00      134361.      4569.84
      9222.42      133477.      8712.00
      9224.84      132120.      14680.7
      9227.26      130525.      11179.0
      9229.68      108539.      4418.05
      9232.10      132570.      13697.8
      9234.52      134460.      7808.83
      9236.94      134945.      7811.15
      9239.36      126059.      9336.90
      9241.78      123446.      3007.93
      9244.20      122982.      10823.4
      9246.62      119282.      16757.0
      9249.04      119550.      10981.2
      9251.46      130974.      9067.79
      9253.89      129101.      12443.9
      9256.31      105052.      9709.74
      9258.73      107541.      12650.2
      9261.15      138746.      13807.9
      9263.57      121195.      7517.53
      9265.99      129628.      11763.9
      9268.41      132526.      13570.5
      9270.83      128303.      6742.79
      9273.25      117299.      14948.5
      9275.67      126537.      16981.6
      9278.09      108471.      15101.4
      9280.51      126507.      17327.0
      9282.93      115490.      13082.3
      9285.36      122427.      15401.2
      9287.78      108910.      7067.24
      9290.20      140138.      14834.0
      9292.62      100104.      17616.1
      9295.04      108187.      6124.31
      9297.46      117699.      9115.57
      9299.88      133302.      16469.3
      9302.30      111295.      9197.86
      9304.72      110918.      7359.30
      9307.14      111022.      6413.07
      9309.56      109346.      8504.75
      9311.98      107780.      8318.44
      9314.40      105430.      7433.86
      9316.83      119042.      5346.46
      9319.25      119325.      9543.31
      9321.67      108264.      7816.98
      9324.09      103271.      9452.81
      9326.51      105143.          NaN
      9328.93      105373.          NaN
      9331.35      108290.          NaN
