#Spectrum of PZTelB from Maire et al. 2016
#Distance assumed: 51.49 +/-2.47 pc (Hipparcos).
#Flux-calibrared using the H-band mag reported in Bejar et al. 2008
#Resolving power: 50
#Wavelength [microns] Flux at 10 pc [W.m-2.microns-1]	Flux error [W.m-2.microns-1]
     0.900000 -1.02607e-12  5.38101e-11
     0.900100 -1.02139e-12  5.36781e-11
     0.900200 -1.01672e-12  5.35463e-11
     0.900300 -1.01205e-12  5.34144e-11
     0.900400 -1.00737e-12  5.32825e-11
     0.900500 -1.00270e-12  5.31506e-11
     0.900600 -9.98027e-13  5.30188e-11
     0.900700 -9.93352e-13  5.28868e-11
     0.900800 -9.88678e-13  5.27549e-11
     0.900900 -9.84006e-13  5.26231e-11
     0.901000 -9.79331e-13  5.24912e-11
     0.901100 -9.74657e-13  5.23593e-11
     0.901200 -9.69982e-13  5.22274e-11
     0.901300 -9.65310e-13  5.20955e-11
     0.901400 -9.60636e-13  5.19636e-11
     0.901500 -9.55961e-13  5.18317e-11
     0.901600 -9.51286e-13  5.16998e-11
     0.901700 -9.46615e-13  5.15680e-11
     0.901800 -9.41940e-13  5.14361e-11
     0.901900 -9.37265e-13  5.13042e-11
     0.902000 -9.32594e-13  5.11723e-11
     0.902100 -9.27919e-13  5.10404e-11
     0.902200 -9.23244e-13  5.09085e-11
     0.902300 -9.18570e-13  5.07766e-11
     0.902400 -9.13898e-13  5.06448e-11
     0.902500 -9.09223e-13  5.05129e-11
     0.902600 -9.04549e-13  5.03810e-11
     0.902700 -8.99877e-13  5.02491e-11
     0.902800 -8.95202e-13  5.01172e-11
     0.902900 -8.90528e-13  4.99853e-11
     0.903000 -8.85853e-13  4.98534e-11
     0.903100 -8.81181e-13  4.97216e-11
     0.903200 -8.76507e-13  4.95897e-11
     0.903300 -8.71832e-13  4.94578e-11
     0.903400 -8.67157e-13  4.93259e-11
     0.903500 -8.62486e-13  4.91940e-11
     0.903600 -8.57811e-13  4.90621e-11
     0.903700 -8.53136e-13  4.89302e-11
     0.903800 -8.48465e-13  4.87984e-11
     0.903900 -8.43790e-13  4.86665e-11
     0.904000 -8.39115e-13  4.85346e-11
     0.904100 -8.34441e-13  4.84027e-11
     0.904200 -8.29769e-13  4.82708e-11
     0.904300 -8.25094e-13  4.81389e-11
     0.904400 -8.20420e-13  4.80070e-11
     0.904500 -8.15748e-13  4.78752e-11
     0.904600 -8.11073e-13  4.77433e-11
     0.904700 -8.06399e-13  4.76114e-11
     0.904800 -8.01724e-13  4.74795e-11
     0.904900 -7.97052e-13  4.73476e-11
     0.905000 -7.92377e-13  4.72157e-11
     0.905100 -7.87703e-13  4.70838e-11
     0.905200 -7.83028e-13  4.69519e-11
     0.905300 -7.78356e-13  4.68201e-11
     0.905400 -7.73682e-13  4.66882e-11
     0.905500 -7.69007e-13  4.65563e-11
     0.905600 -7.64335e-13  4.64244e-11
     0.905700 -7.59661e-13  4.62925e-11
     0.905800 -7.54986e-13  4.61606e-11
     0.905900 -7.50312e-13  4.60287e-11
     0.906000 -7.45640e-13  4.58969e-11
     0.906100 -7.40965e-13  4.57650e-11
     0.906200 -7.36290e-13  4.56331e-11
     0.906300 -7.31619e-13  4.55012e-11
     0.906400 -7.26944e-13  4.53693e-11
     0.906500 -7.22269e-13  4.52374e-11
     0.906600 -7.17595e-13  4.51055e-11
     0.906700 -7.12923e-13  4.49737e-11
     0.906800 -7.08248e-13  4.48418e-11
     0.906900 -7.03574e-13  4.47099e-11
     0.907000 -6.98899e-13  4.45779e-11
     0.907100 -6.94227e-13  4.44461e-11
     0.907200 -6.89553e-13  4.43142e-11
     0.907300 -6.84878e-13  4.41823e-11
     0.907400 -6.80206e-13  4.40505e-11
     0.907500 -6.75532e-13  4.39186e-11
     0.907600 -6.70857e-13  4.37867e-11
     0.907700 -6.66182e-13  4.36547e-11
     0.907800 -6.61511e-13  4.35229e-11
     0.907900 -6.56836e-13  4.33910e-11
     0.908000 -6.52161e-13  4.32591e-11
     0.908100 -6.47490e-13  4.31273e-11
     0.908200 -6.42815e-13  4.29954e-11
     0.908300 -6.38140e-13  4.28635e-11
     0.908400 -6.33466e-13  4.27315e-11
     0.908500 -6.28794e-13  4.25997e-11
     0.908600 -6.24119e-13  4.24678e-11
     0.908700 -6.19445e-13  4.23359e-11
     0.908800 -6.14770e-13  4.22040e-11
     0.908900 -6.10098e-13  4.20722e-11
     0.909000 -6.05424e-13  4.19402e-11
     0.909100 -6.00749e-13  4.18083e-11
     0.909200 -5.96077e-13  4.16765e-11
     0.909300 -5.91403e-13  4.15446e-11
     0.909400 -5.86728e-13  4.14127e-11
     0.909500 -5.82054e-13  4.12808e-11
     0.909600 -5.77382e-13  4.11490e-11
     0.909700 -5.72707e-13  4.10170e-11
     0.909800 -5.68032e-13  4.08851e-11
     0.909900 -5.63361e-13  4.07533e-11
     0.910000 -5.58686e-13  4.06214e-11
     0.910100 -5.54011e-13  4.04895e-11
     0.910200 -5.49337e-13  4.03576e-11
     0.910300 -5.44665e-13  4.02258e-11
     0.910400 -5.39990e-13  4.00938e-11
     0.910500 -5.35316e-13  3.99619e-11
     0.910600 -5.30644e-13  3.98301e-11
     0.910700 -5.25969e-13  3.96982e-11
