# FORPRINT: Tue Nov 29 08:32:13 2016
# lambda[um]  F1       F2
   0.10000  1.21e-21  8.60e-29
   0.10100  1.69e-21  1.22e-28
   0.10200  2.13e-21  1.79e-28
   0.10300  2.98e-21  3.86e-28
   0.10400  4.30e-21  6.74e-28
   0.10500  5.72e-21  8.05e-28
   0.10600  7.51e-21  1.45e-27
   0.10700  1.00e-20  2.54e-27
   0.10800  1.34e-20  4.41e-27
   0.10900  1.75e-20  6.90e-27
   0.11000  1.01e-19  9.14e-27
   0.11100  2.79e-19  1.23e-26
   0.11200  4.79e-19  2.35e-26
   0.11300  7.31e-19  4.51e-26
   0.11400  1.03e-18  7.50e-26
   0.11500  1.27e-18  1.12e-25
   0.11600  1.61e-18  1.51e-25
   0.11700  2.13e-18  2.18e-25
   0.11800  2.46e-18  2.95e-25
   0.11900  2.14e-18  3.46e-25
   0.12000  1.76e-18  3.45e-25
   0.12100  1.03e-18  1.92e-25
   0.12200  1.31e-18  2.95e-25
   0.12300  4.11e-18  1.01e-24
   0.12400  8.29e-18  1.89e-24
   0.12500  1.26e-17  2.75e-24
   0.12600  1.50e-17  3.75e-24
   0.12700  1.81e-17  5.01e-24
   0.12800  2.33e-17  6.02e-24
   0.12900  2.86e-17  7.00e-24
   0.13000  3.21e-17  9.01e-24
   0.13100  3.79e-17  1.16e-23
   0.13200  4.51e-17  1.37e-23
   0.13300  5.03e-17  1.56e-23
   0.13400  5.82e-17  1.93e-23
   0.13500  6.74e-17  2.59e-23
   0.13600  7.54e-17  3.12e-23
   0.13700  8.22e-17  3.46e-23
   0.13800  8.92e-17  3.94e-23
   0.13900  9.96e-17  4.59e-23
   0.14000  1.16e-16  5.89e-23
   0.14100  1.33e-16  7.79e-23
   0.14200  1.50e-16  9.49e-23
   0.14300  1.72e-16  1.21e-22
   0.14400  2.21e-16  1.86e-22
   0.14500  2.32e-16  1.86e-22
   0.14600  2.83e-16  2.63e-22
   0.14700  3.29e-16  3.52e-22
   0.14800  3.65e-16  4.03e-22
   0.14900  4.39e-16  5.26e-22
   0.15000  5.42e-16  7.55e-22
   0.15100  5.10e-16  6.24e-22
   0.15200  7.83e-16  1.24e-21
   0.15300  1.37e-15  2.58e-21
   0.15400  1.54e-15  2.67e-21
   0.15500  1.78e-15  3.00e-21
   0.15600  2.05e-15  3.66e-21
   0.15700  2.62e-15  6.49e-21
   0.15800  3.55e-15  9.42e-21
   0.15900  4.17e-15  9.03e-21
   0.16000  4.62e-15  8.72e-21
   0.16100  5.03e-15  8.70e-21
   0.16200  5.46e-15  8.46e-21
   0.16300  6.20e-15  9.74e-21
   0.16400  7.89e-15  1.34e-20
   0.16500  7.48e-15  1.36e-20
   0.16600  8.08e-15  1.60e-20
   0.16700  8.24e-15  1.70e-20
   0.16800  3.15e-14  3.25e-20
   0.16900  3.23e-14  4.86e-20
   0.17000  3.72e-14  5.90e-20
   0.17100  5.51e-14  6.18e-20
   0.17200  7.46e-14  7.60e-20
   0.17300  9.75e-14  9.65e-20
   0.17400  1.23e-13  1.27e-19
   0.17500  1.68e-13  1.50e-19
   0.17600  1.74e-13  1.77e-19
   0.17700  1.66e-13  1.84e-19
   0.17800  2.18e-13  2.60e-19
   0.17900  3.13e-13  3.14e-19
   0.18000  3.49e-13  4.03e-19
   0.18100  2.89e-13  4.39e-19
   0.18200  2.92e-13  4.70e-19
   0.18300  3.21e-13  5.50e-19
   0.18400  2.47e-13  6.00e-19
   0.18500  2.81e-13  6.13e-19
   0.18600  4.63e-13  7.56e-19
   0.18700  5.34e-13  9.30e-19
   0.18800  5.43e-13  1.01e-18
   0.18900  6.57e-13  1.29e-18
   0.19000  7.25e-13  1.47e-18
   0.19100  7.43e-13  1.86e-18
   0.19200  6.93e-13  1.99e-18
   0.19300  4.30e-13  1.48e-18
   0.19400  5.94e-13  1.86e-18
   0.19500  9.52e-13  3.10e-18
   0.19600  1.12e-12  3.78e-18
   0.19700  1.22e-12  4.16e-18
   0.19800  1.23e-12  5.29e-18
   0.19900  1.50e-12  5.51e-18
   0.20000  1.48e-12  5.54e-18
   0.20100  1.46e-12  6.35e-18
   0.20200  1.30e-12  6.39e-18
   0.20300  1.40e-12  6.90e-18
   0.20400  1.89e-12  7.98e-18
   0.20500  1.98e-12  9.03e-18
   0.20600  1.86e-12  9.54e-18
   0.20700  1.97e-12  8.91e-18
   0.20800  5.32e-12  1.83e-17
   0.20900  6.03e-12  2.32e-17
   0.21000  5.50e-12  2.29e-17
   0.21100  5.74e-12  2.14e-17
   0.21200  5.71e-12  2.25e-17
   0.21300  5.06e-12  2.79e-17
   0.21400  5.81e-12  2.83e-17
   0.21500  6.71e-12  2.71e-17
   0.21600  6.10e-12  2.93e-17
   0.21700  5.62e-12  3.03e-17
   0.21800  6.71e-12  3.00e-17
   0.21900  7.65e-12  3.93e-17
   0.22000  7.45e-12  4.54e-17
   0.22100  6.30e-12  4.53e-17
   0.22200  5.91e-12  4.77e-17
   0.22300  7.77e-12  6.24e-17
   0.22400  8.80e-12  8.45e-17
   0.22500  7.33e-12  9.88e-17
   0.22600  5.87e-12  8.06e-17
   0.22700  5.95e-12  7.96e-17
   0.22800  7.66e-12  1.08e-16
   0.22900  8.20e-12  1.45e-16
   0.23000  8.36e-12  1.23e-16
   0.23100  8.57e-12  1.44e-16
   0.23200  6.90e-12  1.99e-16
   0.23300  5.48e-12  2.25e-16
   0.23400  3.89e-12  2.22e-16
   0.23500  4.98e-12  1.55e-16
   0.23600  5.24e-12  1.71e-16
   0.23700  4.19e-12  1.96e-16
   0.23800  3.69e-12  2.62e-16
   0.23900  2.86e-12  3.16e-16
   0.24000  3.34e-12  4.18e-16
   0.24100  3.88e-12  4.38e-16
   0.24200  6.66e-12  3.93e-16
   0.24300  8.87e-12  5.38e-16
   0.24400  9.90e-12  7.50e-16
   0.24500  1.14e-11  9.35e-16
   0.24600  1.10e-11  8.20e-16
   0.24700  9.53e-12  8.62e-16
   0.24800  6.85e-12  7.34e-16
   0.24900  5.60e-12  4.23e-16
   0.25000  8.71e-12  7.18e-16
   0.25100  6.37e-12  7.70e-16
   0.25200  2.57e-12  6.60e-16
   0.25300  4.53e-12  1.26e-15
   0.25400  6.34e-12  1.93e-15
   0.25500  9.51e-12  2.32e-15
   0.25600  1.07e-11  2.01e-15
   0.25700  1.05e-11  1.90e-15
   0.25800  1.12e-11  2.08e-15
   0.25900  9.82e-12  2.02e-15
   0.26000  8.43e-12  2.58e-15
   0.26100  7.20e-12  2.83e-15
   0.26200  8.38e-12  3.34e-15
   0.26300  1.39e-11  5.30e-15
   0.26400  2.12e-11  6.03e-15
   0.26500  2.84e-11  7.66e-15
   0.26600  2.67e-11  8.31e-15
   0.26700  2.31e-11  6.32e-15
   0.26800  2.65e-11  7.26e-15
   0.26900  2.46e-11  6.85e-15
   0.27000  2.33e-11  6.90e-15
   0.27100  2.21e-11  8.08e-15
   0.27200  1.76e-11  6.90e-15
   0.27300  1.84e-11  6.70e-15
   0.27400  1.52e-11  8.10e-15
   0.27500  1.23e-11  9.25e-15
   0.27600  1.69e-11  1.11e-14
   0.27700  2.01e-11  1.47e-14
   0.27800  1.61e-11  1.38e-14
   0.27900  7.86e-12  1.12e-14
   0.28000  4.96e-12  1.18e-14
   0.28100  1.21e-11  1.35e-14
   0.28200  2.41e-11  1.53e-14
   0.28300  2.91e-11  1.48e-14
   0.28400  2.53e-11  1.20e-14
   0.28500  1.66e-11  7.66e-15
