alpha,Lambda,FpoFs
#alpha=-10313
-10313,227.5313, 0.002016551120
-10313,138.7925, 0.001711448600
-10313,97.7517, 0.001568829548
-10313,73.6920, 0.001438246490
-10313,53.8793, 0.001362287320
-10313,42.2119, 0.001290845063
-10313,35.7526, 0.001271661057
-10313,29.7000, 0.001247399078
-10313,24.8385, 0.001201891076
-10313,21.3950, 0.001148871390
-10313,19.3817, 0.001133502203
-10313,18.1802, 0.001118713878
-10313,16.9779, 0.001110785150
-10313,15.7766, 0.001104917915
-10313,14.5751, 0.001084636811
-10313,13.5879, 0.001108054234
-10313,12.7869, 0.001135350106
-10313,11.9861, 0.001156777142
-10313,11.2918, 0.001178814485
-10313,10.6918, 0.001155854979
-10313,10.0913, 0.001143860167
-10313,9.6479, 0.001104611404
-10313,9.3475, 0.001018705925
-10313,8.9952, 0.000934088880
-10313,8.6730, 0.000838974248
-10313,8.3452, 0.000737743417
-10313,8.0743, 0.000690975935
-10313,7.9039, 0.000647461134
-10313,7.7140, 0.000628525447
-10313,7.4982, 0.000614095706
-10313,7.2839, 0.000590708236
-10313,7.0937, 0.000584954563
-10313,6.8726, 0.000560171030
-10313,6.6638, 0.000509857175
-10313,6.5153, 0.000519069287
-10313,6.2974, 0.000650682873
-10313,6.0639, 0.000590518349
-10313,5.8990, 0.000516115923
-10313,5.7594, 0.000506934509
-10313,5.5721, 0.000497758548
-10313,5.3791, 0.000494046332
-10313,5.2647, 0.000493321043
-10313,5.1491, 0.000475424809
-10313,4.9998, 0.000442977501
-10313,4.8816, 0.000415305061
-10313,4.8274, 0.000408807059
-10313,4.7964, 0.000400243381
-10313,4.7498, 0.000402349582
-10313,4.6999, 0.000407026911
-10313,4.6623, 0.000415823393
-10313,4.6050, 0.000362827474
-10313,4.5041, 0.000342466211
-10313,4.3952, 0.000355986493
-10313,4.3007, 0.000376909851
-10313,4.2019, 0.000495703661
-10313,4.0737, 0.000615971412
-10313,3.9494, 0.000694790335
-10313,3.8493, 0.000657450422
-10313,3.7493, 0.000571634171
-10313,3.6621, 0.000473641993
-10313,3.5871, 0.000403799156
-10313,3.5131, 0.000351689012
-10313,3.4381, 0.000314517543
-10313,3.3634, 0.000270386185
-10313,3.3078, 0.000253878366
-10313,3.2691, 0.000248615729
-10313,3.2309, 0.000212800806
-10313,3.1934, 0.000195046085
-10313,3.1559, 0.000179917067
-10313,3.1184, 0.000177398606
-10313,3.0848, 0.000164591922
-10313,3.0548, 0.000161422345
-10313,3.0145, 0.000146845049
-10313,2.9647, 0.000125784872
-10313,2.9086, 0.000113924619
-10313,2.8468, 0.000101928123
