alpha,Lambda,FpoFs
#alpha=-10313
-10313,227.5313, 0.002036981739
-10313,138.7925, 0.001706343651
-10313,97.7517, 0.001566233636
-10313,73.6920, 0.001437355069
-10313,53.8793, 0.001362089437
-10313,42.2119, 0.001290787965
-10313,35.7526, 0.001271634255
-10313,29.7000, 0.001247373162
-10313,24.8385, 0.001201868124
-10313,21.3950, 0.001148856899
-10313,19.3817, 0.001133490525
-10313,18.1802, 0.001118704602
-10313,16.9779, 0.001110776328
-10313,15.7766, 0.001104910579
-10313,14.5751, 0.001084632396
-10313,13.5879, 0.001108051807
-10313,12.7869, 0.001135353223
-10313,11.9861, 0.001156792879
-10313,11.2918, 0.001178852264
-10313,10.6918, 0.001155914210
-10313,10.0913, 0.001143926106
-10313,9.6479, 0.001104665244
-10313,9.3475, 0.001018730084
-10313,8.9952, 0.000934098379
-10313,8.6730, 0.000838977122
-10313,8.3452, 0.000737742755
-10313,8.0743, 0.000690975181
-10313,7.9039, 0.000647459337
-10313,7.7140, 0.000628524243
-10313,7.4982, 0.000614094545
-10313,7.2839, 0.000590707148
-10313,7.0937, 0.000584953515
-10313,6.8726, 0.000560169809
-10313,6.6638, 0.000509855767
-10313,6.5153, 0.000519066344
-10313,6.2974, 0.000650701437
-10313,6.0639, 0.000590527027
-10313,5.8990, 0.000516114464
-10313,5.7594, 0.000506933471
-10313,5.5721, 0.000497758171
-10313,5.3791, 0.000494046731
-10313,5.2647, 0.000493321263
-10313,5.1491, 0.000475425003
-10313,4.9998, 0.000442976956
-10313,4.8816, 0.000415302906
-10313,4.8274, 0.000408803714
-10313,4.7964, 0.000400242818
-10313,4.7498, 0.000402347989
-10313,4.6999, 0.000407025780
-10313,4.6623, 0.000415823618
-10313,4.6050, 0.000362824721
-10313,4.5041, 0.000342463214
-10313,4.3952, 0.000355989392
-10313,4.3007, 0.000376938017
-10313,4.2019, 0.000495804159
-10313,4.0737, 0.000616274871
-10313,3.9494, 0.000695517072
-10313,3.8493, 0.000658157863
-10313,3.7493, 0.000572047698
-10313,3.6621, 0.000473841777
-10313,3.5871, 0.000403923736
-10313,3.5131, 0.000351763497
-10313,3.4381, 0.000314562040
-10313,3.3634, 0.000270408851
-10313,3.3078, 0.000253891825
-10313,3.2691, 0.000248626513
-10313,3.2309, 0.000212806208
-10313,3.1934, 0.000195050958
-10313,3.1559, 0.000179919625
-10313,3.1184, 0.000177400734
-10313,3.0848, 0.000164593168
-10313,3.0548, 0.000161423311
-10313,3.0145, 0.000146845573
-10313,2.9647, 0.000125785131
-10313,2.9086, 0.000113924860
-10313,2.8468, 0.000101928329
-10313,2.7875, 0.000092407680
-10313,2.7304, 0.000084602381
-10313,2.6756, 0.000088727743
-10313,2.6230, 0.000093883106
-10313,2.5736, 0.000073325158
-10313,2.5272, 0.000075460699
-10313,2.4816, 0.000101702301
-10313,2.4368, 0.000130814855
-10313,2.3942, 0.000159186620
-10313,2.3536, 0.000172499636
-10313,2.3143, 0.000186921914
-10313,2.2765, 0.000224944775
-10313,2.2400, 0.000228134692
-10313,2.2089, 0.000218542505
-10313,2.1828, 0.000218200774
-10313,2.1625, 0.000220297587
-10313,2.1477, 0.000197914528
-10313,2.1365, 0.000194287758
-10313,2.1288, 0.000179479007
-10313,2.1136, 0.000167727721
-10313,2.0911, 0.000142900698
-10313,2.0698, 0.000122615871
-10313,2.0498, 0.000104628414
-10313,2.0298, 0.000090278090
-10313,2.0098, 0.000072993220
-10313,1.9820, 0.000067120874
-10313,1.9470, 0.000064974634
-10313,1.9163, 0.000066756106
-10313,1.8894, 0.000059007148
-10313,1.8631, 0.000044498599
-10313,1.8374, 0.000051312585
-10313,1.8123, 0.000054297277
-10313,1.7884, 0.000065060290
-10313,1.7656, 0.000080163125
-10313,1.7405, 0.000107020398
-10313,1.7133, 0.000131996347
-10313,1.6915, 0.000152900722
-10313,1.6749, 0.000156203655
-10313,1.6598, 0.000143512372
-10313,1.6461, 0.000135313301
-10313,1.6274, 0.000119501553
-10313,1.6040, 0.000105368456
-10313,1.5837, 0.000093472966
-10313,1.5672, 0.000078142659
-10313,1.5523, 0.000065688820
-10313,1.5376, 0.000054219292
-10313,1.5226, 0.000046210808
-10313,1.5060, 0.000038824380
-10313,1.4881, 0.000029814981
-10313,1.4706, 0.000025616515
-10313,1.4524, 0.000023315454
-10313,1.4337, 0.000016386095
-10313,1.4159, 0.000016178044
-10313,1.4001, 0.000020633420
-10313,1.3865, 0.000022128113
-10313,1.3741, 0.000019673922
-10313,1.3583, 0.000020040438
-10313,1.3393, 0.000032253847
-10313,1.3185, 0.000098043633
-10313,1.2960, 0.000106533868
-10313,1.2761, 0.000108263405
-10313,1.2586, 0.000086294846
-10313,1.2411, 0.000084267667
-10313,1.2236, 0.000079951134
-10313,1.2061, 0.000058403362
-10313,1.1886, 0.000041874200
-10313,1.1692, 0.000039947223
-10313,1.1482, 0.000041728771
-10313,1.1256, 0.000040234710
-10313,1.1016, 0.000042779165
-10313,1.0802, 0.000052473984
-10313,1.0613, 0.000029210703
-10313,1.0396, 0.000033366623
-10313,1.0156, 0.000026795576
-10313,0.9960, 0.000019345053
-10313,0.9804, 0.000017604231
-10313,0.9628, 0.000012507643
-10313,0.9439, 0.000011906795
-10313,0.9315, 0.000009422952
-10313,0.9189, 0.000016525543
-10313,0.9040, 0.000012461918
-10313,0.8915, 0.000007211771
-10313,0.8774, 0.000005570374
-10313,0.8655, 0.000004334171
-10313,0.8522, 0.000004256341
-10313,0.8341, 0.000005143074
-10313,0.8223, 0.000004126441
-10313,0.8097, 0.000002506331
-10313,0.7924, 0.000000874457
-10313,0.7774, 0.000000306243
-10313,0.7650,-0.000000198351
-10313,0.7524, 0.000000353312
-10313,0.7390, 0.000000768211
-10313,0.7288, 0.000000822664
-10313,0.7143, 0.000000463166
-10313,0.6969, 0.000000441820
-10313,0.6771, 0.000000306500
-10313,0.6574, 0.000000231926
-10313,0.6424, 0.000000139929
-10313,0.6280, 0.000000058397
-10313,0.6165, 0.000000009082
-10313,0.6044,-0.000000034415
-10313,0.5909,-0.000000036555
-10313,0.5784,-0.000000042682
-10313,0.5654,-0.000000014350
-10313,0.5519,-0.000000004013
-10313,0.5369, 0.000000006403
-10313,0.5235, 0.000000011022
-10313,0.5064, 0.000000013445
-10313,0.4849, 0.000000020777
-10313,0.4648, 0.000000018123
-10313,0.4448, 0.000000020166
-10313,0.4258, 0.000000032979
-10313,0.4083, 0.000000055811
-10313,0.3871, 0.000000243571
-10313,0.3621, 0.000000254455
-10313,0.3370, 0.000000023424
-10313,0.3120, 0.000000009987
-10313,0.2870, 0.000000000485
-10313,0.2679,           -Inf


#alpha=-9167
-9167,227.5313, 0.004036049911
-9167,138.7925, 0.003420580047
-9167,97.7517, 0.003146235738
-9167,73.6920, 0.002902637263
-9167,53.8793, 0.002740241409
-9167,42.2119, 0.002591425410
-9167,35.7526, 0.002544486575
-9167,29.7000, 0.002513121945
-9167,24.8385, 0.002438714660
-9167,21.3950, 0.002344987623
-9167,19.3817, 0.002312576543
-9167,18.1802, 0.002282724610
-9167,16.9779, 0.002267935765
-9167,15.7766, 0.002253891902
-9167,14.5751, 0.002216551144
-9167,13.5879, 0.002246530243
-9167,12.7869, 0.002281492989
-9167,11.9861, 0.002307975177
-9167,11.2918, 0.002337100330
-9167,10.6918, 0.002309473332
-9167,10.0913, 0.002281150173
-9167,9.6479, 0.002206920744
-9167,9.3475, 0.002071304212
-9167,8.9952, 0.001932867540
-9167,8.6730, 0.001771960508
-9167,8.3452, 0.001608897388
-9167,8.0743, 0.001534789797
-9167,7.9039, 0.001464737038
-9167,7.7140, 0.001440893704
-9167,7.4982, 0.001430340852
-9167,7.2839, 0.001381375269
-9167,7.0937, 0.001357721138
-9167,6.8726, 0.001300527348
-9167,6.6638, 0.001207624115
-9167,6.5153, 0.001250889872
-9167,6.2974, 0.001495072016
-9167,6.0639, 0.001384695890
-9167,5.8990, 0.001251732854
-9167,5.7594, 0.001226541697
-9167,5.5721, 0.001197398791
-9167,5.3791, 0.001182087792
-9167,5.2647, 0.001178877184
-9167,5.1491, 0.001148725995
-9167,4.9998, 0.001101823714
-9167,4.8816, 0.001070317616
-9167,4.8274, 0.001058541312
-9167,4.7964, 0.001049264649
-9167,4.7498, 0.001053814754
-9167,4.6999, 0.001056201515
-9167,4.6623, 0.001064432223
-9167,4.6050, 0.000987202825
-9167,4.5041, 0.000951391259
-9167,4.3952, 0.000960045088
-9167,4.3007, 0.000991225722
-9167,4.2019, 0.001174885310
-9167,4.0737, 0.001359969897
-9167,3.9494, 0.001499746558
-9167,3.8493, 0.001440356760
-9167,3.7493, 0.001298421904
-9167,3.6621, 0.001127212443
-9167,3.5871, 0.001006493630
-9167,3.5131, 0.000906205910
-9167,3.4381, 0.000829052824
-9167,3.3634, 0.000741586308
-9167,3.3078, 0.000698769750
-9167,3.2691, 0.000675703220
-9167,3.2309, 0.000604340485
-9167,3.1934, 0.000567122174
-9167,3.1559, 0.000531866140
-9167,3.1184, 0.000518552443
-9167,3.0848, 0.000484523128
-9167,3.0548, 0.000474829814
-9167,3.0145, 0.000438190073
-9167,2.9647, 0.000394759531
-9167,2.9086, 0.000372182155
-9167,2.8468, 0.000348400324
-9167,2.7875, 0.000331095484
-9167,2.7304, 0.000320362566
-9167,2.6756, 0.000335023565
-9167,2.6230, 0.000334504737
-9167,2.5736, 0.000290990361
-9167,2.5272, 0.000292305344
-9167,2.4816, 0.000348335917
-9167,2.4368, 0.000414392160
-9167,2.3942, 0.000486127348
-9167,2.3536, 0.000522165085
-9167,2.3143, 0.000554194647
-9167,2.2765, 0.000620239605
-9167,2.2400, 0.000609400694
-9167,2.2089, 0.000574444094
-9167,2.1828, 0.000554584257
-9167,2.1625, 0.000552514502
-9167,2.1477, 0.000497043557
-9167,2.1365, 0.000485323171
-9167,2.1288, 0.000455379834
-9167,2.1136, 0.000431247784
-9167,2.0911, 0.000379802889
-9167,2.0698, 0.000339877713
-9167,2.0498, 0.000304920648
-9167,2.0298, 0.000278994095
-9167,2.0098, 0.000244996432
-9167,1.9820, 0.000237753845
-9167,1.9470, 0.000234519053
-9167,1.9163, 0.000226761519
-9167,1.8894, 0.000209538277
-9167,1.8631, 0.000175217687
-9167,1.8374, 0.000189048386
-9167,1.8123, 0.000198627010
-9167,1.7884, 0.000217801375
-9167,1.7656, 0.000249053157
-9167,1.7405, 0.000303853940
-9167,1.7133, 0.000343258286
-9167,1.6915, 0.000380822294
-9167,1.6749, 0.000388112594
-9167,1.6598, 0.000355265331
-9167,1.6461, 0.000338999760
-9167,1.6274, 0.000303596375
-9167,1.6040, 0.000271265781
-9167,1.5837, 0.000247350175
-9167,1.5672, 0.000214531179
-9167,1.5523, 0.000188717843
-9167,1.5376, 0.000164635792
-9167,1.5226, 0.000147926590
-9167,1.5060, 0.000132520375
-9167,1.4881, 0.000110428297
-9167,1.4706, 0.000100078171
-9167,1.4524, 0.000095475199
-9167,1.4337, 0.000078408284
-9167,1.4159, 0.000077413836
-9167,1.4001, 0.000089262548
-9167,1.3865, 0.000093218951
-9167,1.3741, 0.000086594046
-9167,1.3583, 0.000089401059
-9167,1.3393, 0.000117961231
-9167,1.3185, 0.000248214095
-9167,1.2960, 0.000257229038
-9167,1.2761, 0.000253939183
-9167,1.2586, 0.000213003773
-9167,1.2411, 0.000210797605
-9167,1.2236, 0.000204788346
-9167,1.2061, 0.000161761230
-9167,1.1886, 0.000126493385
-9167,1.1692, 0.000124915280
-9167,1.1482, 0.000124438152
-9167,1.1256, 0.000117168193
-9167,1.1016, 0.000119293895
-9167,1.0802, 0.000138703784
-9167,1.0613, 0.000084192599
-9167,1.0396, 0.000089308392
-9167,1.0156, 0.000074091991
-9167,0.9960, 0.000058084174
-9167,0.9804, 0.000049707479
-9167,0.9628, 0.000038711781
-9167,0.9439, 0.000030242119
-9167,0.9315, 0.000022067502
-9167,0.9189, 0.000042660836
-9167,0.9040, 0.000032066619
-9167,0.8915, 0.000017682846
-9167,0.8774, 0.000016219605
-9167,0.8655, 0.000009389616
-9167,0.8522, 0.000006507174
-9167,0.8341, 0.000011933571
-9167,0.8223, 0.000011353859
-9167,0.8097, 0.000007696898
-9167,0.7924, 0.000000575945
-9167,0.7774,-0.000000519808
-9167,0.7650,-0.000001514314
-9167,0.7524, 0.000001523236
-9167,0.7390, 0.000001284880
-9167,0.7288,-0.000000205221
-9167,0.7143,-0.000001334905
-9167,0.6969,-0.000001159077
-9167,0.6771,-0.000001685006
-9167,0.6574,-0.000001633433
-9167,0.6424,-0.000001635351
-9167,0.6280,-0.000001793888
-9167,0.6165,-0.000001752400
-9167,0.6044,-0.000001713890
-9167,0.5909,-0.000001723338
-9167,0.5784,-0.000001561127
-9167,0.5654,-0.000001505673
-9167,0.5519,-0.000001376264
-9167,0.5369,-0.000001204361
-9167,0.5235,-0.000001152130
-9167,0.5064,-0.000001011285
-9167,0.4849,-0.000000794641
-9167,0.4648,-0.000000623501
-9167,0.4448,-0.000000509907
-9167,0.4258,-0.000000304782
-9167,0.4083, 0.000000015913
-9167,0.3871, 0.000000315985
-9167,0.3621, 0.000000070308
-9167,0.3370,-0.000000222705
-9167,0.3120,-0.000000215830
-9167,0.2870,-0.000000131730
-9167,0.2679,           -Inf


#alpha=-8021
-8021,227.5313, 0.004370437945
-8021,138.7925, 0.003972527004
-8021,97.7517, 0.003787412379
-8021,73.6920, 0.003648900931
-8021,53.8793, 0.003556909036
-8021,42.2119, 0.003452529027
-8021,35.7526, 0.003426427861
-8021,29.7000, 0.003374456914
-8021,24.8385, 0.003293410824
-8021,21.3950, 0.003220632706
-8021,19.3817, 0.003180284587
-8021,18.1802, 0.003155904132
-8021,16.9779, 0.003134599819
-8021,15.7766, 0.003106533739
-8021,14.5751, 0.003066782374
-8021,13.5879, 0.003051049200
-8021,12.7869, 0.003039771865
-8021,11.9861, 0.003022425258
-8021,11.2918, 0.003006494805
-8021,10.6918, 0.002969854276
-8021,10.0913, 0.002925000619
-8021,9.6479, 0.002871881288
-8021,9.3475, 0.002808909924
-8021,8.9952, 0.002739785514
-8021,8.6730, 0.002665713210
-8021,8.3452, 0.002579633133
-8021,8.0743, 0.002532958600
-8021,7.9039, 0.002485407655
-8021,7.7140, 0.002453148908
-8021,7.4982, 0.002413879123
-8021,7.2839, 0.002370866701
-8021,7.0937, 0.002341917808
-8021,6.8726, 0.002296370421
-8021,6.6638, 0.002229412151
-8021,6.5153, 0.002224828615
