#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-10313, 0.0000000361, 0.0000107071, 0.0000010087, 0.0000007484, 0.0000609367, 0.0003900538, 0.0004343903, 0.00052880, 0.00067260, 0.00110261, 0.00117325
-9167, -0.0000007206, 0.0000292210, 0.0000013787, 0.0000001438, 0.0001707350, 0.0009593092, 0.0010880878, 0.00126025, 0.00150234, 0.00224765, 0.00238803
-8021, 0.0000186155, 0.0001274043, 0.0000575985, 0.0000753480, 0.0003925556, 0.0015795987, 0.0019129117, 0.00215123, 0.00246299, 0.00309367, 0.00325438
-6875, 0.0000505200, 0.0002495580, 0.0001393816, 0.0001852790, 0.0005590326, 0.0015514176, 0.0019219371, 0.00209589, 0.00230040, 0.00246338, 0.00255329
-5730, 0.0000280487, 0.0000956003, 0.0000694047, 0.0000938274, 0.0001010613, -0.0001946187, -0.0002177741, -0.00030760, -0.00044889, -0.00094050, -0.00103418
-4584, -0.0000476536, -0.0002727168, -0.0001393923, -0.0001840247, -0.0007215030, -0.0025063604, -0.0030477744, -0.00339675, -0.00384175, -0.00467702, -0.00491571
-3438, -0.0001106804, -0.0005166568, -0.0003007525, -0.0004012445, -0.0011460789, -0.0033712393, -0.0040691507, -0.00445302, -0.00490772, -0.00556485, -0.00578732
-2292, -0.0000723081, -0.0002841761, -0.0001861218, -0.0002505638, -0.0005364748, -0.0014287064, -0.0016872988, -0.00180610, -0.00192402, -0.00199934, -0.00203580
-1146, 0.0000549878, 0.0002941487, 0.0001595264, 0.0002119878, 0.0007222461, 0.0023028780, 0.0028175333, 0.00312306, 0.00350579, 0.00413686, 0.00434052
 -0, 0.0001192065, 0.0005235687, 0.0003220490, 0.0004324627, 0.0011619868, 0.0039045540, 0.0047731926, 0.00531120, 0.00595863, 0.00687660, 0.00714915
1146, 0.0000398720, 0.0001399141, 0.0000987355, 0.0001338949, 0.0003211348, 0.0016232019, 0.0020967277, 0.00247177, 0.00297247, 0.00361073, 0.00377866
2292, -0.0000802736, -0.0003616490, -0.0002150618, -0.0002873825, -0.0007446556, -0.0018438027, -0.0021511078, -0.00225845, -0.00233351, -0.00242738, -0.00248955
3438, -0.0001008812, -0.0004216608, -0.0002615383, -0.0003507079, -0.0009091721, -0.0030114911, -0.0036962929, -0.00413073, -0.00466348, -0.00534415, -0.00554826
4584, -0.0000382128, -0.0001556155, -0.0000963804, -0.0001292575, -0.0003916505, -0.0018215948, -0.0022853732, -0.00267350, -0.00320778, -0.00403800, -0.00423429
5730, 0.0000239874, 0.0000895530, 0.0000622965, 0.0000842539, 0.0001279528, 0.0000376643, 0.0000703387, -0.00000625, -0.00014696, -0.00061632, -0.00069115
6875, 0.0000424825, 0.0001592467, 0.0001056999, 0.0001422867, 0.0003204630, 0.0011511797, 0.0014874578, 0.00169595, 0.00196607, 0.00213101, 0.00219733
8021, 0.0000158267, 0.0000667967, 0.0000390713, 0.0000520477, 0.0001923724, 0.0010573391, 0.0013116898, 0.00156120, 0.00191865, 0.00252277, 0.00264773
9167, -0.0000006381, 0.0000233824, 0.0000007113, -0.0000004489, 0.0001428541, 0.0008526828, 0.0009605877, 0.00112970, 0.00137256, 0.00211058, 0.00224158
10313, 0.0000001183, 0.0000249014, 0.0000027270, 0.0000023854, 0.0001350509, 0.0007208074, 0.0008186522, 0.00092905, 0.00107564, 0.00154751, 0.00164053
