#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-10313, 0.0000000281, 0.0000106273, 0.0000010052, 0.0000007479, 0.0000605775, 0.0003898706, 0.0004343262, 0.00052880, 0.00067260, 0.00110261, 0.00117327
-9167, -0.0000010452, 0.0000267718, 0.0000005096, -0.0000009368, 0.0001664522, 0.0009571932, 0.0010865026, 0.00125828, 0.00150014, 0.00224465, 0.00238770
-8021, 0.0000205556, 0.0001447273, 0.0000653076, 0.0000853008, 0.0004119282, 0.0015875864, 0.0019226478, 0.00216592, 0.00248258, 0.00314613, 0.00325789
-6875, 0.0000571169, 0.0002983096, 0.0001610637, 0.0002132013, 0.0006197329, 0.0015778656, 0.0019479916, 0.00213291, 0.00234793, 0.00256686, 0.00256235
-5730, 0.0000319881, 0.0001258299, 0.0000815884, 0.0001092301, 0.0001414716, -0.0001804993, -0.0002037395, -0.00028885, -0.00042619, -0.00089381, -0.00102989
-4584, -0.0000506996, -0.0003133812, -0.0001539021, -0.0002023287, -0.0007772032, -0.0025198912, -0.0030639999, -0.00341926, -0.00387047, -0.00475471, -0.00492289
-3438, -0.0001213098, -0.0006413422, -0.0003435745, -0.0004543981, -0.0013223460, -0.0034155479, -0.0041183949, -0.00451697, -0.00498116, -0.00573602, -0.00580475
-2292, -0.0000810872, -0.0003888231, -0.0002211564, -0.0002937291, -0.0006835646, -0.0014672046, -0.0017307917, -0.00186204, -0.00198483, -0.00213237, -0.00204940
-1146, 0.0000582179, 0.0003464044, 0.0001765623, 0.0002331183, 0.0007964929, 0.0023177618, 0.0028348486, 0.00314516, 0.00353236, 0.00420491, 0.00434841
 -0, 0.0001279240, 0.0006563384, 0.0003661372, 0.0004870677, 0.0013438169, 0.0039492257, 0.0048273028, 0.00537923, 0.00603547, 0.00707341, 0.00717120
1146, 0.0000410667, 0.0001781615, 0.0001103874, 0.0001482118, 0.0003746008, 0.0016367445, 0.0021140808, 0.00249203, 0.00299350, 0.00366875, 0.00378797
2292, -0.0000906596, -0.0004635374, -0.0002521224, -0.0003335934, -0.0008839464, -0.0018840393, -0.0021940755, -0.00231472, -0.00239713, -0.00256018, -0.00250258
3438, -0.0001102898, -0.0005329913, -0.0003010413, -0.0004000004, -0.0010611242, -0.0030551772, -0.0037455333, -0.00419396, -0.00473515, -0.00551252, -0.00556694
4584, -0.0000403536, -0.0001903952, -0.0001086819, -0.0001447224, -0.0004369005, -0.0018351604, -0.0023027355, -0.00269646, -0.00323488, -0.00411238, -0.00424291
5730, 0.0000272459, 0.0001215945, 0.0000742195, 0.0000992156, 0.0001720799, 0.0000518466, 0.0000853079, 0.00001357, -0.00012398, -0.00056704, -0.00068661
6875, 0.0000478464, 0.0002076146, 0.0001247054, 0.0001663370, 0.0003856435, 0.0011765769, 0.0015140465, 0.00173220, 0.00200983, 0.00222902, 0.00220679
8021, 0.0000171781, 0.0000812260, 0.0000445096, 0.0000588970, 0.0002105541, 0.0010639128, 0.0013203255, 0.00157339, 0.00193390, 0.00256658, 0.00265127
9167, -0.0000008793, 0.0000212723, 0.0000000178, -0.0000013055, 0.0001391201, 0.0008511530, 0.0009593295, 0.00112805, 0.00137060, 0.00210722, 0.00224138
10313, 0.0000001125, 0.0000245845, 0.0000027122, 0.0000023800, 0.0001341223, 0.0007204564, 0.0008184541, 0.00092899, 0.00107561, 0.00154746, 0.00164046
