alpha,Lambda,FpoFs
#alpha=-180
-180,227.5313, 0.003610903512
-180,138.7925, 0.003140896866
-180,97.7517, 0.002911762724
-180,73.6920, 0.002699922141
-180,53.8793, 0.002561069975
-180,42.2119, 0.002427355584
-180,35.7526, 0.002381863826
-180,29.7000, 0.002339492363
-180,24.8385, 0.002261002331
-180,21.3950, 0.002167414307
-180,19.3817, 0.002133394303
-180,18.1802, 0.002103678907
-180,16.9779, 0.002085324896
-180,15.7766, 0.002068940836
-180,14.5751, 0.002029530681
-180,13.5879, 0.002055931377
-180,12.7869, 0.002088583160
-180,11.9861, 0.002111683975
-180,11.2918, 0.002136857949
-180,10.6918, 0.002098055367
-180,10.0913, 0.002071169996
-180,9.6479, 0.002004708980
-180,9.3475, 0.001872596108
-180,8.9952, 0.001740262239
-180,8.6730, 0.001585915801
-180,8.3452, 0.001423549579
-180,8.0743, 0.001348122559
-180,7.9039, 0.001277656648
-180,7.7140, 0.001246754516
-180,7.4982, 0.001231332969
-180,7.2839, 0.001187241924
-180,7.0937, 0.001175147658
-180,6.8726, 0.001130586804
-180,6.6638, 0.001046053899
-180,6.5153, 0.001068403227
-180,6.2974, 0.001269853757
-180,6.0639, 0.001170662669
-180,5.8990, 0.001052281325
-180,5.7594, 0.001031406547
-180,5.5721, 0.001008696638
-180,5.3791, 0.000995877780
-180,5.2647, 0.000992348955
-180,5.1491, 0.000961426606
-180,4.9998, 0.000910824991
-180,4.8816, 0.000871048317
-180,4.8274, 0.000856554959
-180,4.7964, 0.000846835943
-180,4.7498, 0.000847825669
-180,4.6999, 0.000850599130
-180,4.6623, 0.000862114514
-180,4.6050, 0.000786718504
-180,4.5041, 0.000754618520
-180,4.3952, 0.000761961501
-180,4.3007, 0.000780621642
-180,4.2019, 0.000949686624
-180,4.0737, 0.001122575386
-180,3.9494, 0.001236601425
-180,3.8493, 0.001176882516
-180,3.7493, 0.001044148266
-180,3.6621, 0.000885659393
-180,3.5871, 0.000768934830
-180,3.5131, 0.000682674200
-180,3.4381, 0.000621506213
-180,3.3634, 0.000549291765
-180,3.3078, 0.000522492870
-180,3.2691, 0.000511595360
-180,3.2309, 0.000453154933
-180,3.1934, 0.000422389540
