#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-180, 0.0000000044, 0.0000027146, 0.0000001634, 0.0000000785, 0.0000193124, 0.0001061126, 0.0003575621, 0.00038623, 0.00050179, 0.00131175, 0.00136660
-160, 0.0000008006, 0.0000064764, 0.0000025098, 0.0000032518, 0.0000299220, 0.0001874370, 0.0004513166, 0.00050473, 0.00064706, 0.00145433, 0.00151918
-140, 0.0000049040, 0.0000275079, 0.0000145895, 0.0000194314, 0.0000813238, 0.0004404004, 0.0007469346, 0.00086192, 0.00107040, 0.00188437, 0.00196993
-120, 0.0000141895, 0.0000778315, 0.0000420688, 0.0000559867, 0.0001974317, 0.0008635532, 0.0012413292, 0.00143605, 0.00172927, 0.00256235, 0.00267207
-100, 0.0000307584, 0.0001669340, 0.0000899395, 0.0001194093, 0.0003931302, 0.0014452760, 0.0019156119, 0.00219511, 0.00257761, 0.00344004, 0.00357209
-80, 0.0000553046, 0.0002945158, 0.0001586043, 0.0002102085, 0.0006613020, 0.0021372896, 0.0027101253, 0.00306863, 0.00353258, 0.00442751, 0.00457682
-60, 0.0000854979, 0.0004481591, 0.0002416267, 0.0003199269, 0.0009727280, 0.0028632977, 0.0035382107, 0.00396221, 0.00449084, 0.00541841, 0.00557514
-40, 0.0001158501, 0.0006031154, 0.0003254641, 0.0004307637, 0.0012788976, 0.0035280672, 0.0042946787, 0.00476567, 0.00533736, 0.00629911, 0.00644886
-20, 0.0001385541, 0.0007211825, 0.0003897417, 0.0005159389, 0.0015103329, 0.0040152212, 0.0048486475, 0.00534561, 0.00593799, 0.00693245, 0.00706255
 -0, 0.0001473101, 0.0007666652, 0.0004151602, 0.0005497879, 0.0016002837, 0.0042131514, 0.0050723275, 0.00557886, 0.00617795, 0.00718875, 0.00730631
 20, 0.0001385003, 0.0007202999, 0.0003894730, 0.0005156055, 0.0015076848, 0.0040118907, 0.0048455461, 0.00534307, 0.00593602, 0.00693053, 0.00706063
 40, 0.0001157556, 0.0006016474, 0.0003250186, 0.0004302125, 0.0012743651, 0.0035207396, 0.0042880846, 0.00475973, 0.00533206, 0.00629399, 0.00644364
 60, 0.0000853992, 0.0004464968, 0.0002411366, 0.0003193227, 0.0009673454, 0.0028523531, 0.0035285204, 0.00395262, 0.00448156, 0.00540925, 0.00556547
 80, 0.0000552357, 0.0002930008, 0.0001581839, 0.0002096937, 0.0006560584, 0.0021239944, 0.0026983517, 0.00305586, 0.00351959, 0.00441419, 0.00456234
100, 0.0000307304, 0.0001657814, 0.0000896483, 0.0001190564, 0.0003887662, 0.0014313701, 0.0019033116, 0.00218052, 0.00256222, 0.00342399, 0.00355409
120, 0.0000141905, 0.0000771040, 0.0000419079, 0.0000557950, 0.0001943168, 0.0008508757, 0.0012301178, 0.00142162, 0.00171366, 0.00254606, 0.00265335
140, 0.0000049128, 0.0000271416, 0.0000145218, 0.0000193536, 0.0000794765, 0.0004305589, 0.0007382987, 0.00085001, 0.00105722, 0.00187096, 0.00195422
160, 0.0000008042, 0.0000063469, 0.0000024924, 0.0000032342, 0.0000291258, 0.0001817695, 0.0004465437, 0.00049784, 0.00063922, 0.00144668, 0.00151019
180, 0.0000000044, 0.0000027146, 0.0000001634, 0.0000000785, 0.0000193124, 0.0001061126, 0.0003575621, 0.00038623, 0.00050179, 0.00131175, 0.00136660
