alpha,Lambda,FpoFs
#alpha=-180
-180,227.5313, 0.003659556214
-180,138.7925, 0.003240976950
-180,97.7517, 0.003024145821
-180,73.6920, 0.002827553142
-180,53.8793, 0.002685384372
-180,42.2119, 0.002546005359
-180,35.7526, 0.002491761935
-180,29.7000, 0.002444537933
-180,24.8385, 0.002362808259
-180,21.3950, 0.002268138690
-180,19.3817, 0.002225271301
-180,18.1802, 0.002188577174
-180,16.9779, 0.002155130535
-180,15.7766, 0.002102056043
-180,14.5751, 0.002040662625
-180,13.5879, 0.002068054628
-180,12.7869, 0.002101911328
-180,11.9861, 0.002115520570
-180,11.2918, 0.002124794527
-180,10.6918, 0.002087534754
-180,10.0913, 0.002051180910
-180,9.6479, 0.001983154544
-180,9.3475, 0.001869639588
-180,8.9952, 0.001760735534
-180,8.6730, 0.001634110672
-180,8.3452, 0.001499500089
-180,8.0743, 0.001433388021
-180,7.9039, 0.001375630992
-180,7.7140, 0.001345432150
-180,7.4982, 0.001323627729
-180,7.2839, 0.001278398575
-180,7.0937, 0.001248447277
-180,6.8726, 0.001194052898
-180,6.6638, 0.001112230656
-180,6.5153, 0.001138266334
-180,6.2974, 0.001296057322
-180,6.0639, 0.001203430967
-180,5.8990, 0.001099883439
-180,5.7594, 0.001074228625
-180,5.5721, 0.001044057647
-180,5.3791, 0.001023548311
-180,5.2647, 0.001015595051
-180,5.1491, 0.000986510937
-180,4.9998, 0.000942240268
-180,4.8816, 0.000909129638
-180,4.8274, 0.000888235304
-180,4.7964, 0.000886649915
-180,4.7498, 0.000885785842
-180,4.6999, 0.000879978204
-180,4.6623, 0.000883523084
-180,4.6050, 0.000820386378
-180,4.5041, 0.000749369861
-180,4.3952, 0.000679114849
-180,4.3007, 0.000670939944
-180,4.2019, 0.000878033553
-180,4.0737, 0.001058322691
-180,3.9494, 0.001141775290
-180,3.8493, 0.001089977965
-180,3.7493, 0.000977996356
-180,3.6621, 0.000854136084
-180,3.5871, 0.000768922589
-180,3.5131, 0.000698931799
-180,3.4381, 0.000643319833
-180,3.3634, 0.000581676391
-180,3.3078, 0.000550389737
-180,3.2691, 0.000530216175
-180,3.2309, 0.000479537318
-180,3.1934, 0.000451374449
-180,3.1559, 0.000424701489
-180,3.1184, 0.000412835543
-180,3.0848, 0.000385325861
-180,3.0548, 0.000375382670
-180,3.0145, 0.000346051855
-180,2.9647, 0.000313170715
-180,2.9086, 0.000293372071
-180,2.8468, 0.000273223187
-180,2.7875, 0.000255701056
-180,2.7304, 0.000243329869
-180,2.6756, 0.000246757416
-180,2.6230, 0.000249133876
-180,2.5736, 0.000220223429
-180,2.5272, 0.000218782642
-180,2.4816, 0.000251242522
-180,2.4368, 0.000288042908
-180,2.3942, 0.000327052875
-180,2.3536, 0.000344206103
-180,2.3143, 0.000360031384
-180,2.2765, 0.000404817142
-180,2.2400, 0.000395958917
-180,2.2089, 0.000372604477
-180,2.1828, 0.000359541623
-180,2.1625, 0.000358504968
-180,2.1477, 0.000322343354
-180,2.1365, 0.000315007117
-180,2.1288, 0.000294920581
-180,2.1136, 0.000277258167
-180,2.0911, 0.000243119625
-180,2.0698, 0.000216669169
-180,2.0498, 0.000192884021
-180,2.0298, 0.000175152475
-180,2.0098, 0.000152714870
-180,1.9820, 0.000145679447
-180,1.9470, 0.000141770336
-180,1.9163, 0.000137118315
-180,1.8894, 0.000126620742
-180,1.8631, 0.000107682670
-180,1.8374, 0.000113011263
-180,1.8123, 0.000116873868
-180,1.7884, 0.000125469180
-180,1.7656, 0.000140615349
-180,1.7405, 0.000168797151
-180,1.7133, 0.000193490386
-180,1.6915, 0.000219448448
-180,1.6749, 0.000223249209
-180,1.6598, 0.000199410057
-180,1.6461, 0.000188817565
-180,1.6274, 0.000167005358
-180,1.6040, 0.000145825189
-180,1.5837, 0.000128849941
-180,1.5672, 0.000109537848
-180,1.5523, 0.000095911130
-180,1.5376, 0.000083633115
-180,1.5226, 0.000075163228
-180,1.5060, 0.000067063090
-180,1.4881, 0.000056303700
-180,1.4706, 0.000050998137
-180,1.4524, 0.000047788201
-180,1.4337, 0.000039582316
-180,1.4159, 0.000038443531
-180,1.4001, 0.000042267700
-180,1.3865, 0.000042914948
-180,1.3741, 0.000039609441
-180,1.3583, 0.000040338127
-180,1.3393, 0.000051474018
-180,1.3185, 0.000116658367
-180,1.2960, 0.000128589556
