#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-180, 0.0000000484, 0.0000137515, 0.0000016471, 0.0000014852, 0.0000836500, 0.0007366708, 0.0008511111, 0.00109421, 0.00138679, 0.00209601, 0.00231170
-160, 0.0000020591, 0.0000269485, 0.0000085956, 0.0000107730, 0.0001190753, 0.0008770635, 0.0010294011, 0.00128876, 0.00159760, 0.00232233, 0.00254072
-140, 0.0000096058, 0.0000685318, 0.0000322799, 0.0000425223, 0.0002096057, 0.0011635848, 0.0013936746, 0.00168492, 0.00203475, 0.00278663, 0.00300774
-120, 0.0000238803, 0.0001445171, 0.0000751798, 0.0000998070, 0.0003668088, 0.0015862689, 0.0019184137, 0.00225007, 0.00265270, 0.00343704, 0.00366126
-100, 0.0000459692, 0.0002583187, 0.0001388229, 0.0001844648, 0.0005946224, 0.0021290199, 0.0025747236, 0.00295074, 0.00340949, 0.00422814, 0.00445727
-80, 0.0000750323, 0.0004036707, 0.0002197186, 0.0002917692, 0.0008765763, 0.0027441743, 0.0033017166, 0.00372083, 0.00423093, 0.00508038, 0.00531539
-60, 0.0001074782, 0.0005636726, 0.0003084222, 0.0004092264, 0.0011776983, 0.0033618223, 0.0040194106, 0.00447576, 0.00502660, 0.00590139, 0.00613945
-40, 0.0001372641, 0.0007113447, 0.0003900020, 0.0005171774, 0.0014482565, 0.0038994368, 0.0046359593, 0.00511960, 0.00569712, 0.00659273, 0.00682812
-20, 0.0001576580, 0.0008129187, 0.0004466991, 0.0005922707, 0.0016273668, 0.0042627013, 0.0050466797, 0.00554447, 0.00613276, 0.00704105, 0.00727028
 -0, 0.0001629498, 0.0008338961, 0.0004613287, 0.0006119582, 0.0016501498, 0.0043509595, 0.0051498970, 0.00565751, 0.00625595, 0.00716984, 0.00739553
 20, 0.0001487927, 0.0007535535, 0.0004210462, 0.0005591576, 0.0014860829, 0.0040615745, 0.0048403754, 0.00535662, 0.00597917, 0.00688512, 0.00711008
 40, 0.0001223073, 0.0006145933, 0.0003476957, 0.0004625388, 0.0012153790, 0.0035350955, 0.0042529451, 0.00476016, 0.00539113, 0.00627814, 0.00650341
 60, 0.0000906387, 0.0004544981, 0.0002606537, 0.0003475126, 0.0009071247, 0.0028906092, 0.0035146233, 0.00399245, 0.00460556, 0.00546324, 0.00568453
 80, 0.0000604090, 0.0003039292, 0.0001767314, 0.0002362167, 0.0006178336, 0.0022368804, 0.0027473417, 0.00318114, 0.00375168, 0.00457323, 0.00478898
100, 0.0000358061, 0.0001815412, 0.0001067527, 0.0001430145, 0.0003826159, 0.0016533841, 0.0020435653, 0.00242505, 0.00293391, 0.00371536, 0.00392706
120, 0.0000182482, 0.0000950042, 0.0000554399, 0.0000743000, 0.0002182395, 0.0011952636, 0.0014724531, 0.00180092, 0.00223837, 0.00298223, 0.00319251
140, 0.0000072020, 0.0000429113, 0.0000227410, 0.0000302294, 0.0001234103, 0.0008904092, 0.0010767297, 0.00135967, 0.00172817, 0.00244488, 0.00265573
160, 0.0000014095, 0.0000179904, 0.0000057065, 0.0000071101, 0.0000833503, 0.0007385885, 0.0008666532, 0.00111851, 0.00143315, 0.00213674, 0.00234925
180, 0.0000000484, 0.0000137515, 0.0000016471, 0.0000014852, 0.0000836500, 0.0007366708, 0.0008511111, 0.00109421, 0.00138679, 0.00209601, 0.00231170
