alpha,Lambda,FpoFs
#alpha=-180
-180,227.5313, 0.003921277092
-180,138.7925, 0.003443715747
-180,97.7517, 0.003184189238
-180,73.6920, 0.002938902531
-180,53.8793, 0.002772459753
-180,42.2119, 0.002619835896
-180,35.7526, 0.002572221111
-180,29.7000, 0.002542184482
-180,24.8385, 0.002467064886
-180,21.3950, 0.002371588051
-180,19.3817, 0.002339308327
-180,18.1802, 0.002308973081
-180,16.9779, 0.002294908713
-180,15.7766, 0.002281979661
-180,14.5751, 0.002244767467
-180,13.5879, 0.002277541047
-180,12.7869, 0.002315037569
-180,11.9861, 0.002344431324
-180,11.2918, 0.002376652158
-180,10.6918, 0.002352235739
-180,10.0913, 0.002323299534
-180,9.6479, 0.002247969345
-180,9.3475, 0.002109335797
-180,8.9952, 0.001970145784
-180,8.6730, 0.001806154259
-180,8.3452, 0.001637499572
-180,8.0743, 0.001561458094
-180,7.9039, 0.001488968147
-180,7.7140, 0.001466905652
-180,7.4982, 0.001453629259
-180,7.2839, 0.001402986612
-180,7.0937, 0.001375245740
-180,6.8726, 0.001313144379
-180,6.6638, 0.001214799791
-180,6.5153, 0.001263927149
-180,6.2974, 0.001523156717
-180,6.0639, 0.001407153247
-180,5.8990, 0.001266773721
-180,5.7594, 0.001240392340
-180,5.5721, 0.001210385203
-180,5.3791, 0.001194123705
-180,5.2647, 0.001190984699
-180,5.1491, 0.001159621619
-180,4.9998, 0.001110548733
-180,4.8816, 0.001077605266
-180,4.8274, 0.001065502124
-180,4.7964, 0.001055395670
-180,4.7498, 0.001060222002
-180,4.6999, 0.001062859955
-180,4.6623, 0.001071723107
-180,4.6050, 0.000990834228
-180,4.5041, 0.000954049830
-180,4.3952, 0.000965173599
-180,4.3007, 0.000998513849
-180,4.2019, 0.001190251156
-180,4.0737, 0.001381181586
-180,3.9494, 0.001524688140
-180,3.8493, 0.001466447728
-180,3.7493, 0.001324910573
-180,3.6621, 0.001151781921
-180,3.5871, 0.001028323844
-180,3.5131, 0.000925827827
