#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-180, 0.0000001321, 0.0000306248, 0.0000032492, 0.0000027633, 0.0001701416, 0.0009788642, 0.0010975024, 0.00127635, 0.00152571, 0.00227603, 0.00241542
-160, 0.0000005729, 0.0000393018, 0.0000053958, 0.0000053045, 0.0002042855, 0.0010929805, 0.0012451719, 0.00143126, 0.00168713, 0.00244502, 0.00259586
-140, 0.0000032876, 0.0000667206, 0.0000157307, 0.0000184393, 0.0002864095, 0.0013209314, 0.0015426507, 0.00174594, 0.00201903, 0.00279371, 0.00296032
-120, 0.0000110991, 0.0001257528, 0.0000418905, 0.0000523200, 0.0004361453, 0.0016786472, 0.0019954316, 0.00222460, 0.00252035, 0.00331709, 0.00350084
-100, 0.0000265969, 0.0002224958, 0.0000890783, 0.0001140276, 0.0006552024, 0.0021559952, 0.0025822023, 0.00284648, 0.00317116, 0.00399451, 0.00419451
-80, 0.0000494427, 0.0003501028, 0.0001549766, 0.0002006675, 0.0009222826, 0.0027052794, 0.0032440185, 0.00354927, 0.00390750, 0.00475922, 0.00497107
-60, 0.0000750261, 0.0004872792, 0.0002279411, 0.0002969357, 0.0011963065, 0.0032546513, 0.0038996886, 0.00424694, 0.00464021, 0.00552218, 0.00573636
-40, 0.0000964880, 0.0006037227, 0.0002903882, 0.0003794995, 0.0014261173, 0.0037207105, 0.0044557989, 0.00483972, 0.00526290, 0.00617198, 0.00638190
-20, 0.0001083278, 0.0006682891, 0.0003256222, 0.0004261907, 0.0015527052, 0.0040040323, 0.0048012312, 0.00520719, 0.00564754, 0.00656631, 0.00677707
 -0, 0.0001091165, 0.0006620673, 0.0003259064, 0.0004269726, 0.0015290108, 0.0040081150, 0.0048219591, 0.00524106, 0.00569344, 0.00661308, 0.00682461
 20, 0.0000981303, 0.0005865782, 0.0002899115, 0.0003797984, 0.0013613844, 0.0036976393, 0.0044641827, 0.00487954, 0.00532935, 0.00623496, 0.00645032
 40, 0.0000774103, 0.0004639676, 0.0002271893, 0.0002971547, 0.0011056209, 0.0031870679, 0.0038662782, 0.00425733, 0.00469116, 0.00556925, 0.00578975
 60, 0.0000522737, 0.0003238105, 0.0001538174, 0.0002003968, 0.0008188515, 0.0025860523, 0.0031531821, 0.00350492, 0.00391143, 0.00475606, 0.00497376
 80, 0.0000297695, 0.0001977426, 0.0000881399, 0.0001138804, 0.0005548290, 0.0020012458, 0.0024469762, 0.00275358, 0.00312784, 0.00394025, 0.00414548
100, 0.0000139599, 0.0001044876, 0.0000408201, 0.0000517286, 0.0003483107, 0.0015091028, 0.0018368486, 0.00209965, 0.00244049, 0.00322350, 0.00341092
120, 0.0000055073, 0.0000505285, 0.0000148138, 0.0000178055, 0.0002171905, 0.0011618983, 0.0013879990, 0.00161452, 0.00192455, 0.00268420, 0.00285216
140, 0.0000020396, 0.0000302334, 0.0000054256, 0.0000057278, 0.0001611075, 0.0009812020, 0.0011345948, 0.00133538, 0.00161832, 0.00236506, 0.00251547
160, 0.0000005242, 0.0000276335, 0.0000032338, 0.0000028727, 0.0001552718, 0.0009357785, 0.0010533284, 0.00123706, 0.00149630, 0.00224008, 0.00237922
180, 0.0000001321, 0.0000306248, 0.0000032492, 0.0000027633, 0.0001701416, 0.0009788642, 0.0010975024, 0.00127635, 0.00152571, 0.00227603, 0.00241542
