alpha,Lambda,FpoFs
#alpha=-180
-180,227.5313, 0.004128915130
-180,138.7925, 0.003632480434
-180,97.7517, 0.003357295164
-180,73.6920, 0.003095810397
-180,53.8793, 0.002917039631
-180,42.2119, 0.002753586883
-180,35.7526, 0.002699778182
-180,29.7000, 0.002673597428
-180,24.8385, 0.002579685925
-180,21.3950, 0.002377459583
-180,19.3817, 0.002410849479
-180,18.1802, 0.002378515591
-180,16.9779, 0.002345124257
-180,15.7766, 0.002191829968
-180,14.5751, 0.001847755357
-180,13.5879, 0.001982365398
-180,12.7869, 0.002241883341
-180,11.9861, 0.002381822089
-180,11.2918, 0.002451657406
-180,10.6918, 0.002450100953
-180,10.0913, 0.002411909071
-180,9.6479, 0.002321028994
-180,9.3475, 0.002182357258
-180,8.9952, 0.002037912257
-180,8.6730, 0.001870569862
-180,8.3452, 0.001699760544
-180,8.0743, 0.001616278555
-180,7.9039, 0.001539695609
-180,7.7140, 0.001512386992
-180,7.4982, 0.001490309393
-180,7.2839, 0.001429290287
-180,7.0937, 0.001390534837
-180,6.8726, 0.001320279499
-180,6.6638, 0.001226182096
-180,6.5153, 0.001253603098
-180,6.2974, 0.001381784493
-180,6.0639, 0.001271063532
-180,5.8990, 0.001160652047
-180,5.7594, 0.001110960839
-180,5.5721, 0.001039960642
-180,5.3791, 0.000971788060
-180,5.2647, 0.000932318635
-180,5.1491, 0.000888467163
-180,4.9998, 0.000838509095
-180,4.8816, 0.000805798054
-180,4.8274, 0.000780990185
-180,4.7964, 0.000784599867
-180,4.7498, 0.000774589799
-180,4.6999, 0.000759126136
-180,4.6623, 0.000756725333
-180,4.6050, 0.000734868915
-180,4.5041, 0.000714848377
-180,4.3952, 0.000686138946
-180,4.3007, 0.000661099652
-180,4.2019, 0.000664808589
-180,4.0737, 0.000664772616
-180,3.9494, 0.000667415738
-180,3.8493, 0.000650791620
-180,3.7493, 0.000623548589
-180,3.6621, 0.000583348658
-180,3.5871, 0.000551253702
-180,3.5131, 0.000517472823
-180,3.4381, 0.000490054245
-180,3.3634, 0.000459667185
-180,3.3078, 0.000447141528
-180,3.2691, 0.000432734141
-180,3.2309, 0.000407310788
-180,3.1934, 0.000386701620
-180,3.1559, 0.000370720060
-180,3.1184, 0.000368261892
-180,3.0848, 0.000355681149
-180,3.0548, 0.000350505152
-180,3.0145, 0.000331825026
-180,2.9647, 0.000314949345
-180,2.9086, 0.000300089339
-180,2.8468, 0.000283924817
-180,2.7875, 0.000273400312
-180,2.7304, 0.000260126981
-180,2.6756, 0.000268832445
-180,2.6230, 0.000265448404
-180,2.5736, 0.000231707511
-180,2.5272, 0.000242218984
-180,2.4816, 0.000266463936
-180,2.4368, 0.000291373441
-180,2.3942, 0.000338891782
-180,2.3536, 0.000340894158
-180,2.3143, 0.000365000592
-180,2.2765, 0.000392260481
-180,2.2400, 0.000363116577
-180,2.2089, 0.000346237081
-180,2.1828, 0.000341771409
-180,2.1625, 0.000349752554
-180,2.1477, 0.000318428360
-180,2.1365, 0.000306784925
-180,2.1288, 0.000286439540
-180,2.1136, 0.000265185831
-180,2.0911, 0.000248631420
-180,2.0698, 0.000245561594
-180,2.0498, 0.000231717019
-180,2.0298, 0.000214095519
-180,2.0098, 0.000174756093
-180,1.9820, 0.000177430623
-180,1.9470, 0.000189462282
-180,1.9163, 0.000168057939
-180,1.8894, 0.000159367695
-180,1.8631, 0.000144935673
-180,1.8374, 0.000148936093
-180,1.8123, 0.000135677756
-180,1.7884, 0.000152402068
-180,1.7656, 0.000163816254
-180,1.7405, 0.000193340650
-180,1.7133, 0.000206116682
-180,1.6915, 0.000226949520
-180,1.6749, 0.000214116050
-180,1.6598, 0.000212677300
-180,1.6461, 0.000197381697
-180,1.6274, 0.000180418845
-180,1.6040, 0.000158202053
-180,1.5837, 0.000142687567
-180,1.5672, 0.000134476404
-180,1.5523, 0.000120154126
-180,1.5376, 0.000106655265
