#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-180, 0.0000001031, 0.0000192212, 0.0000022478, 0.0000020531, 0.0001049350, 0.0005234915, 0.0007187746, 0.00109644, 0.00156379, 0.00209346, 0.00246939
-160, 0.0000010341, 0.0000285690, 0.0000056243, 0.0000063627, 0.0001379715, 0.0006511196, 0.0008724823, 0.00125273, 0.00171745, 0.00227068, 0.00263706
-140, 0.0000056309, 0.0000589726, 0.0000201672, 0.0000254747, 0.0002180735, 0.0009184992, 0.0012018362, 0.00159106, 0.00206587, 0.00266956, 0.00301320
-120, 0.0000158115, 0.0001194919, 0.0000510464, 0.0000662247, 0.0003590624, 0.0013251630, 0.0016964921, 0.00209746, 0.00258866, 0.00325891, 0.00357169
-100, 0.0000332310, 0.0002151712, 0.0001017728, 0.0001332943, 0.0005642635, 0.0018559161, 0.0023318315, 0.00274843, 0.00325976, 0.00400599, 0.00428401
-80, 0.0000575512, 0.0003409576, 0.0001704119, 0.0002241993, 0.0008167141, 0.0024630008, 0.0030488999, 0.00348499, 0.00401794, 0.00484083, 0.00508213
-60, 0.0000853013, 0.0004803365, 0.0002481160, 0.0003273311, 0.0010811146, 0.0030763071, 0.0037681311, 0.00422746, 0.00478307, 0.00567782, 0.00587982
-40, 0.0001109292, 0.0006066399, 0.0003205885, 0.0004239056, 0.0013084290, 0.0036134735, 0.0043970658, 0.00488221, 0.00546242, 0.00642057, 0.00658155
-20, 0.0001282004, 0.0006848451, 0.0003696451, 0.0004899469, 0.0014377745, 0.0039725760, 0.0048204869, 0.00533129, 0.00593703, 0.00694307, 0.00706622
 -0, 0.0001331008, 0.0006923796, 0.0003806655, 0.0005054548, 0.0014313171, 0.0040408261, 0.0049135836, 0.00544965, 0.00608437, 0.00711263, 0.00721778
 20, 0.0001229932, 0.0006254328, 0.0003467557, 0.0004605285, 0.0012877467, 0.0037306726, 0.0045729740, 0.00511780, 0.00577202, 0.00678121, 0.00690185
 40, 0.0001015704, 0.0005063849, 0.0002821781, 0.0003747088, 0.0010531144, 0.0031890752, 0.0039595199, 0.00449907, 0.00516122, 0.00611898, 0.00627565
 60, 0.0000748441, 0.0003670882, 0.0002052877, 0.0002725674, 0.0007828343, 0.0025412796, 0.0032125095, 0.00373584, 0.00439226, 0.00527714, 0.00547341
 80, 0.0000492845, 0.0002384119, 0.0001332649, 0.0001768333, 0.0005308238, 0.0018969045, 0.0024556804, 0.00295601, 0.00359343, 0.00439315, 0.00463011
100, 0.0000286866, 0.0001372226, 0.0000757878, 0.0001003366, 0.0003290307, 0.0013318623, 0.0017767211, 0.00224956, 0.00285611, 0.00356702, 0.00384451
120, 0.0000143546, 0.0000698583, 0.0000365134, 0.0000479622, 0.0001927916, 0.0008990567, 0.0012402560, 0.00168349, 0.00225169, 0.00288113, 0.00319682
140, 0.0000056140, 0.0000335507, 0.0000140479, 0.0000179359, 0.0001206411, 0.0006256628, 0.0008853776, 0.00129990, 0.00182785, 0.00239495, 0.00274271
160, 0.0000011410, 0.0000193915, 0.0000040498, 0.0000045683, 0.0000967526, 0.0005070933, 0.0007156225, 0.00110538, 0.00159600, 0.00212729, 0.00249661
180, 0.0000001031, 0.0000192202, 0.0000022477, 0.0000020530, 0.0001049288, 0.0005234502, 0.0007187306, 0.00109639, 0.00156376, 0.00209343, 0.00246938
