alpha,Lambda,FpoFs
#alpha=-180
-180,227.5313, 0.003391167576
-180,138.7925, 0.003005919996
-180,97.7517, 0.002832778071
-180,73.6920, 0.002682808616
-180,53.8793, 0.002571133019
-180,42.2119, 0.002450602636
-180,35.7526, 0.002393028056
-180,29.7000, 0.002325187929
-180,24.8385, 0.002234249853
-180,21.3950, 0.002137732453
-180,19.3817, 0.002089618610
-180,18.1802, 0.002052568074
-180,16.9779, 0.002021080067
-180,15.7766, 0.001989298217
-180,14.5751, 0.001941089020
-180,13.5879, 0.001936941420
-180,12.7869, 0.001943222418
-180,11.9861, 0.001941764004
-180,11.2918, 0.001942568080
-180,10.6918, 0.001889681439
-180,10.0913, 0.001856690971
-180,9.6479, 0.001802614383
-180,9.3475, 0.001700684649
-180,8.9952, 0.001602192262
-180,8.6730, 0.001491816975
-180,8.3452, 0.001370934646
-180,8.0743, 0.001307383445
-180,7.9039, 0.001253520035
-180,7.7140, 0.001220912630
-180,7.4982, 0.001195733679
-180,7.2839, 0.001155595842
-180,7.0937, 0.001135881062
-180,6.8726, 0.001095919013
-180,6.6638, 0.001031008043
-180,6.5153, 0.001028877919
-180,6.2974, 0.001131317029
-180,6.0639, 0.001053038015
-180,5.8990, 0.000968622803
-180,5.7594, 0.000945139765
-180,5.5721, 0.000920887645
-180,5.3791, 0.000901412719
-180,5.2647, 0.000890686948
-180,5.1491, 0.000858533556
-180,4.9998, 0.000809301640
-180,4.8816, 0.000769431629
-180,4.8274, 0.000750461101
-180,4.7964, 0.000745515970
-180,4.7498, 0.000741135840
-180,4.6999, 0.000738624641
-180,4.6623, 0.000747547383
-180,4.6050, 0.000692693697
-180,4.5041, 0.000665761491
-180,4.3952, 0.000660782825
-180,4.3007, 0.000653890389
-180,4.2019, 0.000758032340
-180,4.0737, 0.000873012673
-180,3.9494, 0.000943002035
-180,3.8493, 0.000893980827
-180,3.7493, 0.000793153283
-180,3.6621, 0.000672518183
-180,3.5871, 0.000574253774
-180,3.5131, 0.000507054743
-180,3.4381, 0.000464826483
-180,3.3634, 0.000407126234
-180,3.3078, 0.000399756908
-180,3.2691, 0.000399962960
-180,3.2309, 0.000360053109
-180,3.1934, 0.000336632209
-180,3.1559, 0.000323693853
-180,3.1184, 0.000321683735
-180,3.0848, 0.000310307983
-180,3.0548, 0.000306495459
-180,3.0145, 0.000287963754
-180,2.9647, 0.000261331703
-180,2.9086, 0.000242998256
-180,2.8468, 0.000224594704
-180,2.7875, 0.000208167377
-180,2.7304, 0.000194587183
-180,2.6756, 0.000190333052
-180,2.6230, 0.000190297260
-180,2.5736, 0.000165981191
-180,2.5272, 0.000161646843
-180,2.4816, 0.000177991116
-180,2.4368, 0.000193671706
-180,2.3942, 0.000202319048
-180,2.3536, 0.000200877809
-180,2.3143, 0.000202827907
-180,2.2765, 0.000224122882
-180,2.2400, 0.000226267689
-180,2.2089, 0.000221893219
-180,2.1828, 0.000226591713
-180,2.1625, 0.000231442265
-180,2.1477, 0.000214448309
-180,2.1365, 0.000213460586
-180,2.1288, 0.000201813844
-180,2.1136, 0.000190897623
-180,2.0911, 0.000170614410
-180,2.0698, 0.000151813594
-180,2.0498, 0.000133833890
-180,2.0298, 0.000119905269
-180,2.0098, 0.000102786977
-180,1.9820, 0.000093604998
-180,1.9470, 0.000088109293
-180,1.9163, 0.000087467023
-180,1.8894, 0.000080363590
-180,1.8631, 0.000067076546
-180,1.8374, 0.000069022222
-180,1.8123, 0.000069664284
-180,1.7884, 0.000074472428
-180,1.7656, 0.000083708802
-180,1.7405, 0.000102566599
-180,1.7133, 0.000123093869
-180,1.6915, 0.000141133825
-180,1.6749, 0.000145695510
-180,1.6598, 0.000132622647
-180,1.6461, 0.000128354243
-180,1.6274, 0.000114869133
-180,1.6040, 0.000101441052
-180,1.5837, 0.000088298004
-180,1.5672, 0.000073493874
-180,1.5523, 0.000063142135
-180,1.5376, 0.000053476987
-180,1.5226, 0.000046564072
-180,1.5060, 0.000040444457
-180,1.4881, 0.000033223906
-180,1.4706, 0.000029415269
-180,1.4524, 0.000026520320
-180,1.4337, 0.000021376242
-180,1.4159, 0.000020116167
-180,1.4001, 0.000021394599
-180,1.3865, 0.000021329928
-180,1.3741, 0.000019799462
-180,1.3583, 0.000018735751
-180,1.3393, 0.000024593928
-180,1.3185, 0.000070380105
-180,1.2960, 0.000082482750
-180,1.2761, 0.000088578816
-180,1.2586, 0.000071916197
-180,1.2411, 0.000064521515
-180,1.2236, 0.000055622325
-180,1.2061, 0.000040677537
-180,1.1886, 0.000028932679
-180,1.1692, 0.000024169233
-180,1.1482, 0.000023804599
-180,1.1256, 0.000023002434
-180,1.1016, 0.000026247497
-180,1.0802, 0.000035594547
-180,1.0613, 0.000023128692
-180,1.0396, 0.000025076369
-180,1.0156, 0.000019090360
-180,0.9960, 0.000013189944
-180,0.9804, 0.000011222115
-180,0.9628, 0.000008278895
-180,0.9439, 0.000008154353
-180,0.9315, 0.000006762170
-180,0.9189, 0.000009240390
-180,0.9040, 0.000007479421
-180,0.8915, 0.000005076834
-180,0.8774, 0.000003905361
-180,0.8655, 0.000003319086
-180,0.8522, 0.000003067735
-180,0.8341, 0.000002207758
-180,0.8223, 0.000001559510
-180,0.8097, 0.000001020097
-180,0.7924, 0.000000576881
-180,0.7774, 0.000000324675
-180,0.7650, 0.000000202112
-180,0.7524, 0.000000273039
-180,0.7390, 0.000000318672
-180,0.7288, 0.000000355148
-180,0.7143, 0.000000289395
-180,0.6969, 0.000000243412
-180,0.6771, 0.000000188910
-180,0.6574, 0.000000118607
-180,0.6424, 0.000000072211
-180,0.6280, 0.000000043769
-180,0.6165, 0.000000031103
-180,0.6044, 0.000000023075
-180,0.5909, 0.000000013940
-180,0.5784, 0.000000013865
-180,0.5654, 0.000000012094
-180,0.5519, 0.000000009867
-180,0.5369, 0.000000008802
-180,0.5235, 0.000000007046
-180,0.5064, 0.000000005562
-180,0.4849, 0.000000012090
-180,0.4648, 0.000000020999
-180,0.4448, 0.000000019048
-180,0.4258, 0.000000016404
-180,0.4083, 0.000000007150
-180,0.3871, 0.000000017770
-180,0.3621, 0.000000012333
-180,0.3370, 0.000000000295
-180,0.3120, 0.000000000181
-180,0.2870, 0.000000000015
-180,0.2679, 0.000000000011


#alpha=-160
-160,227.5313, 0.003549932711
-160,138.7925, 0.003165704150
-160,97.7517, 0.002988906408
-160,73.6920, 0.002839325984
-160,53.8793, 0.002729100942
-160,42.2119, 0.002609364333
-160,35.7526, 0.002554438036
-160,29.7000, 0.002485220413
-160,24.8385, 0.002392081428
-160,21.3950, 0.002296200497
-160,19.3817, 0.002250407621
-160,18.1802, 0.002213393480
-160,16.9779, 0.002181253048
-160,15.7766, 0.002147706780
-160,14.5751, 0.002098211362
-160,13.5879, 0.002090587840
-160,12.7869, 0.002093025506
-160,11.9861, 0.002087525287
-160,11.2918, 0.002084537492
-160,10.6918, 0.002031220113
