#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-180, 0.0000000122, 0.0000069771, 0.0000006284, 0.0000004461, 0.0000516117, 0.0005640638, 0.0007411797, 0.00095880, 0.00126387, 0.00197709, 0.00218226
-160, 0.0000008511, 0.0000122037, 0.0000033935, 0.0000041462, 0.0000688921, 0.0006625462, 0.0008605212, 0.00109217, 0.00141378, 0.00213464, 0.00234047
-140, 0.0000050294, 0.0000350179, 0.0000160802, 0.0000211086, 0.0001266245, 0.0009064808, 0.0011685375, 0.00143543, 0.00179848, 0.00254758, 0.00275400
-120, 0.0000142374, 0.0000853273, 0.0000436257, 0.0000577825, 0.0002423670, 0.0012911135, 0.0016480670, 0.00196223, 0.00237976, 0.00317017, 0.00337552
-100, 0.0000301542, 0.0001706298, 0.0000900761, 0.0001194504, 0.0004263897, 0.0017992835, 0.0022712847, 0.00263734, 0.00311138, 0.00395227, 0.00415241
-80, 0.0000530173, 0.0002894849, 0.0001550186, 0.0002055482, 0.0006698831, 0.0023870448, 0.0029793526, 0.00339473, 0.00391806, 0.00481078, 0.00500003
-60, 0.0000803754, 0.0004296428, 0.0002318661, 0.0003073980, 0.0009451712, 0.0029937598, 0.0036971212, 0.00415507, 0.00471731, 0.00565705, 0.00582878
-40, 0.0001073028, 0.0005681147, 0.0003080635, 0.0004084733, 0.0012085112, 0.0035457039, 0.0043389599, 0.00483024, 0.00542123, 0.00640122, 0.00654863
-20, 0.0001271627, 0.0006701817, 0.0003653144, 0.0004846820, 0.0013982815, 0.0039460730, 0.0047974366, 0.00531042, 0.00592006, 0.00693091, 0.00705068
 -0, 0.0001346697, 0.0007051106, 0.0003867042, 0.0005134180, 0.0014593692, 0.0040980412, 0.0049717254, 0.00549651, 0.00611672, 0.00714300, 0.00724888
 20, 0.0001263632, 0.0006575626, 0.0003612428, 0.0004795762, 0.0013627111, 0.0039022793, 0.0047555501, 0.00527677, 0.00589507, 0.00690671, 0.00702639
 40, 0.0001058453, 0.0005471710, 0.0003012065, 0.0003998806, 0.0011481589, 0.0034565591, 0.0042542806, 0.00475976, 0.00536593, 0.00634662, 0.00649482
 60, 0.0000787356, 0.0004061211, 0.0002242119, 0.0002978234, 0.0008742655, 0.0028638800, 0.0035746754, 0.00404924, 0.00462979, 0.00556842, 0.00574348
 80, 0.0000517388, 0.0002681998, 0.0001483636, 0.0001972599, 0.0006012757, 0.0022263048, 0.0028291748, 0.00325876, 0.00379789, 0.00468714, 0.00488171
100, 0.0000294713, 0.0001544320, 0.0000853865, 0.0001136589, 0.0003691991, 0.0016247636, 0.0021110247, 0.00248562, 0.00296811, 0.00380512, 0.00401071
120, 0.0000140244, 0.0000749812, 0.0000409544, 0.0000545331, 0.0002011645, 0.0011281123, 0.0015004925, 0.00181788, 0.00223702, 0.00302353, 0.00323391
140, 0.0000050019, 0.0000296457, 0.0000148888, 0.0000197024, 0.0001016884, 0.0007819475, 0.0010555725, 0.00132244, 0.00168385, 0.00242903, 0.00263953
160, 0.0000008421, 0.0000102030, 0.0000030334, 0.0000037497, 0.0000578119, 0.0005955529, 0.0007988974, 0.00102945, 0.00134920, 0.00206735, 0.00227521
180, 0.0000000122, 0.0000069771, 0.0000006284, 0.0000004461, 0.0000516117, 0.0005640638, 0.0007411797, 0.00095880, 0.00126387, 0.00197709, 0.00218226
