#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-180, 0.0000002507, 0.0000474080, 0.0000056269, 0.0000050050, 0.0002414291, 0.0011701653, 0.0013741241, 0.00152925, 0.00177185, 0.00254529, 0.00270073
-160, 0.0000012333, 0.0000601251, 0.0000100145, 0.0000105046, 0.0002829950, 0.0013102644, 0.0015484713, 0.00172121, 0.00198015, 0.00276017, 0.00292661
-140, 0.0000055603, 0.0000926632, 0.0000247519, 0.0000296565, 0.0003680845, 0.0015594867, 0.0018606662, 0.00206956, 0.00236645, 0.00316538, 0.00334471
-120, 0.0000150336, 0.0001523175, 0.0000543849, 0.0000685434, 0.0005063034, 0.0019139162, 0.0022980289, 0.00255492, 0.00290160, 0.00372738, 0.00391983
-100, 0.0000308836, 0.0002421947, 0.0001013897, 0.0001305248, 0.0006975090, 0.0023608213, 0.0028398567, 0.00315257, 0.00355508, 0.00441367, 0.00461816
-80, 0.0000519454, 0.0003549245, 0.0001621998, 0.0002109506, 0.0009222761, 0.0028587920, 0.0034348307, 0.00380614, 0.00426448, 0.00515707, 0.00536999
-60, 0.0000741939, 0.0004716898, 0.0002264518, 0.0002961579, 0.0011442169, 0.0033478677, 0.0040138071, 0.00444184, 0.00495166, 0.00587704, 0.00609181
-40, 0.0000929302, 0.0005655709, 0.0002802263, 0.0003678059, 0.0013155807, 0.0037586829, 0.0044985011, 0.00497820, 0.00553287, 0.00648751, 0.00669776
-20, 0.0001042393, 0.0006072510, 0.0003092877, 0.0004071318, 0.0013818453, 0.0039963937, 0.0047848546, 0.00531166, 0.00590685, 0.00688478, 0.00708541
 -0, 0.0001057433, 0.0005869172, 0.0003055244, 0.0004028335, 0.0013222999, 0.0039514819, 0.0047534882, 0.00531920, 0.00596185, 0.00695970, 0.00715113
 20, 0.0000959965, 0.0005107030, 0.0002684732, 0.0003538916, 0.0011554671, 0.0035992506, 0.0043636811, 0.00493157, 0.00559762, 0.00659085, 0.00678300
 40, 0.0000781735, 0.0004009609, 0.0002109815, 0.0002777017, 0.0009318865, 0.0030936215, 0.0037820939, 0.00431810, 0.00497483, 0.00594791, 0.00614043
 60, 0.0000569297, 0.0002843516, 0.0001477831, 0.0001939056, 0.0006999290, 0.0025415325, 0.0031299523, 0.00360803, 0.00422294, 0.00516284, 0.00534957
 80, 0.0000372267, 0.0001843870, 0.0000922435, 0.0001202401, 0.0005005266, 0.0020308807, 0.0025107449, 0.00291606, 0.00346456, 0.00436315, 0.00454030
100, 0.0000216138, 0.0001117651, 0.0000507647, 0.0000652234, 0.0003536407, 0.0016139064, 0.0019900129, 0.00231805, 0.00278558, 0.00363951, 0.00380618
120, 0.0000107284, 0.0000681672, 0.0000245558, 0.0000304662, 0.0002646771, 0.0013207377, 0.0016100717, 0.00186649, 0.00225081, 0.00306410, 0.00322151
140, 0.0000040427, 0.0000482307, 0.0000109433, 0.0000123930, 0.0002262240, 0.0011598285, 0.0013893908, 0.00158914, 0.00190083, 0.00268581, 0.00283701
160, 0.0000008503, 0.0000434614, 0.0000057794, 0.0000054499, 0.0002226815, 0.0011153808, 0.0013160982, 0.00148028, 0.00174072, 0.00251202, 0.00266187
180, 0.0000002507, 0.0000474080, 0.0000056269, 0.0000050050, 0.0002414291, 0.0011701653, 0.0013741241, 0.00152925, 0.00177185, 0.00254529, 0.00270073
