#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-180, 0.0000001174, 0.0000294186, 0.0000031058, 0.0000026133, 0.0001626665, 0.0009276483, 0.0010466642, 0.00121794, 0.00146058, 0.00221406, 0.00235080
-160, 0.0000010413, 0.0000389235, 0.0000066442, 0.0000071509, 0.0001954437, 0.0010525584, 0.0012057956, 0.00139105, 0.00164890, 0.00241028, 0.00255564
-140, 0.0000056060, 0.0000688137, 0.0000214115, 0.0000266422, 0.0002711085, 0.0012915754, 0.0015169578, 0.00173377, 0.00202954, 0.00281231, 0.00296587
-120, 0.0000157251, 0.0001279734, 0.0000524007, 0.0000676702, 0.0004037255, 0.0016472345, 0.0019731760, 0.00223318, 0.00257987, 0.00339397, 0.00355444
-100, 0.0000329816, 0.0002212744, 0.0001028733, 0.0001345656, 0.0005969479, 0.0021104708, 0.0025548812, 0.00286629, 0.00327070, 0.00412407, 0.00428929
-80, 0.0000568457, 0.0003433512, 0.0001705263, 0.0002243387, 0.0008340217, 0.0026412673, 0.0032093184, 0.00357589, 0.00403888, 0.00493414, 0.00509965
-60, 0.0000835792, 0.0004765558, 0.0002458766, 0.0003245445, 0.0010785494, 0.0031770765, 0.0038625957, 0.00428385, 0.00480219, 0.00573943, 0.00589716
-40, 0.0001078396, 0.0005933039, 0.0003145585, 0.0004163249, 0.0012802058, 0.0036427013, 0.0044279832, 0.00489961, 0.00546807, 0.00644676, 0.00658660
-20, 0.0001239759, 0.0006595668, 0.0003591827, 0.0004767319, 0.0013790149, 0.0039388110, 0.0047927096, 0.00530836, 0.00592054, 0.00693574, 0.00705065
 -0, 0.0001279240, 0.0006563379, 0.0003661370, 0.0004870675, 0.0013438156, 0.0039492237, 0.0048273007, 0.00537922, 0.00603547, 0.00707340, 0.00717120
 20, 0.0001173131, 0.0005839847, 0.0003300831, 0.0004394178, 0.0011860215, 0.0036162628, 0.0044539792, 0.00500803, 0.00568345, 0.00670699, 0.00681043
 40, 0.0000961411, 0.0004665655, 0.0002660363, 0.0003542677, 0.0009563070, 0.0030971576, 0.0038450817, 0.00437069, 0.00503323, 0.00602145, 0.00613807
 60, 0.0000702824, 0.0003345804, 0.0001917783, 0.0002554385, 0.0007069433, 0.0025099280, 0.0031369129, 0.00361030, 0.00422972, 0.00517163, 0.00529609
 80, 0.0000458469, 0.0002162338, 0.0001234091, 0.0001642816, 0.0004854586, 0.0019530620, 0.0024463656, 0.00285365, 0.00340647, 0.00429681, 0.00442469
100, 0.0000263393, 0.0001261361, 0.0000697372, 0.0000925285, 0.0003175370, 0.0014885436, 0.0018511751, 0.00218759, 0.00265934, 0.00349751, 0.00362681
120, 0.0000128465, 0.0000683739, 0.0000336085, 0.0000440429, 0.0002119376, 0.0011534213, 0.0014031046, 0.00167299, 0.00206092, 0.00285330, 0.00298370
140, 0.0000047228, 0.0000386660, 0.0000132188, 0.0000165382, 0.0001618486, 0.0009590483, 0.0011269105, 0.00134317, 0.00165726, 0.00241887, 0.00255046
160, 0.0000008708, 0.0000282851, 0.0000044377, 0.0000045874, 0.0001504470, 0.0008902176, 0.0010139398, 0.00119544, 0.00145685, 0.00220543, 0.00233869
180, 0.0000001174, 0.0000294186, 0.0000031058, 0.0000026133, 0.0001626665, 0.0009276483, 0.0010466642, 0.00121794, 0.00146058, 0.00221406, 0.00235080
