#alpha,STIS1,STIS2,CHEOPS,Kepler,WFC3,Spitzer1,Spitzer2,Spitzer3,Spitzer4,Spitzer5,Spitzer6
 
-180, 0.0000000430, 0.0000169810, 0.0000017886, 0.0000014784, 0.0001037645, 0.0007444574, 0.0008786631, 0.00106155, 0.00131710, 0.00206197, 0.00221045
-160, 0.0000008969, 0.0000241046, 0.0000047606, 0.0000053510, 0.0001280835, 0.0008389636, 0.0010005390, 0.00119403, 0.00145966, 0.00221316, 0.00236262
-140, 0.0000052830, 0.0000503211, 0.0000183095, 0.0000233165, 0.0001939660, 0.0010606690, 0.0012892292, 0.00151337, 0.00181527, 0.00259252, 0.00274458
-120, 0.0000151068, 0.0001055577, 0.0000477022, 0.0000622953, 0.0003184524, 0.0014143973, 0.0017398271, 0.00200756, 0.00236125, 0.00317284, 0.00332775
-100, 0.0000320442, 0.0001963682, 0.0000967721, 0.0001273289, 0.0005097781, 0.0018941174, 0.0023352656, 0.00265513, 0.00306865, 0.00392175, 0.00407957
-80, 0.0000558829, 0.0003191184, 0.0001640481, 0.0002164957, 0.0007551397, 0.0024600506, 0.0030225836, 0.00339776, 0.00387141, 0.00476679, 0.00492614
-60, 0.0000834491, 0.0004586889, 0.0002413836, 0.0003190906, 0.0010219647, 0.0030478707, 0.0037263199, 0.00415481, 0.00468298, 0.00561890, 0.00577396
-40, 0.0001092668, 0.0005886920, 0.0003146793, 0.0004165953, 0.0012607485, 0.0035770195, 0.0043549434, 0.00483000, 0.00540380, 0.00637871, 0.00651989
-20, 0.0001270973, 0.0006730367, 0.0003655644, 0.0004848326, 0.0014069690, 0.0039440094, 0.0047908470, 0.00530183, 0.00590995, 0.00691847, 0.00703811
 -0, 0.0001324973, 0.0006864743, 0.0003789512, 0.0005034091, 0.0014149208, 0.0040340992, 0.0049079237, 0.00544538, 0.00608126, 0.00710955, 0.00721541
 20, 0.0001225762, 0.0006228637, 0.0003468220, 0.0004609417, 0.0012783651, 0.0037573053, 0.0046020519, 0.00514219, 0.00579047, 0.00680488, 0.00692187
 40, 0.0001011189, 0.0005046962, 0.0002829920, 0.0003762323, 0.0010455914, 0.0032547664, 0.0040241449, 0.00454352, 0.00518297, 0.00616385, 0.00630210
 60, 0.0000741599, 0.0003649050, 0.0002060139, 0.0002740635, 0.0007757372, 0.0026509007, 0.0033122772, 0.00378945, 0.00439598, 0.00533293, 0.00548594
 80, 0.0000483735, 0.0002358781, 0.0001336569, 0.0001779009, 0.0005257065, 0.0020530222, 0.0025894668, 0.00300970, 0.00356186, 0.00444932, 0.00460979
100, 0.0000276940, 0.0001350003, 0.0000759076, 0.0001009749, 0.0003279318, 0.0015322555, 0.0019405808, 0.00229645, 0.00277865, 0.00361444, 0.00377768
120, 0.0000134523, 0.0000682854, 0.0000364516, 0.0000482333, 0.0001960516, 0.0011343923, 0.0014261451, 0.00171829, 0.00212443, 0.00291315, 0.00307624
140, 0.0000049406, 0.0000323091, 0.0000138038, 0.0000178192, 0.0001258342, 0.0008774816, 0.0010794646, 0.00131688, 0.00165236, 0.00240817, 0.00256813
160, 0.0000008723, 0.0000180179, 0.0000036782, 0.0000041338, 0.0001004554, 0.0007516878, 0.0008996155, 0.00109807, 0.00137876, 0.00211957, 0.00227377
180, 0.0000000430, 0.0000169810, 0.0000017886, 0.0000014784, 0.0001037645, 0.0007444574, 0.0008786631, 0.00106155, 0.00131710, 0.00206197, 0.00221045
