#Lambda(microns), dRNoCloud(m),dRcloud(m) 
227.5312855518, 2517297.6002184418, 2517297.6002184418 
138.7925052047, 3099669.7824590220, 3099669.7824590220 
97.7517106549, 3456315.0080580106, 3456315.0080580106 
73.6919675755, 3722603.2015579762, 3722603.2015579762 
53.8793103448, 3530203.6143842530, 3530203.6143842530 
42.2119037569, 3793780.8390855924, 3793780.8390855924 
35.7525920629, 3843951.0282609407, 3843951.0282609407 
29.7000297000, 3768724.9031907809, 3768724.9031907809 
24.8385494287, 3909430.9155446994, 3909430.9155446994 
21.3949507916, 3897194.0592497494, 3897194.0592497494 
19.3817230352, 3896816.0569992200, 3896816.0569992200 
18.1801654395, 3970890.7528933273, 3970890.7528933273 
16.9779286927, 4014467.3686273382, 4014467.3686273382 
15.7766032973, 3935300.2719885586, 3935300.2719885586 
14.5751348200, 3879446.9116328578, 3879446.9116328578 
13.5878796114, 3757951.7429556572, 3757951.7429556572 
12.7869062080, 3643839.6027088827, 3643839.6027088827 
11.9860961285, 3511288.4189894451, 3511288.4189894451 
11.2917795845, 3355280.2388754552, 3355280.2388754552 
10.6917566556, 3170482.3271283796, 3170482.3271283796 
10.0913265049, 3095779.7289345269, 3095779.7289345269 
9.6478533526, 3076465.0910529988, 3076465.0910529988 
9.3475415966, 3242000.7519312636, 3242000.7519312636 
8.9952325268, 3397573.9977222057, 3397573.9977222057 
8.6730268864, 3597073.0542634642, 3597073.0542634642 
8.3451556372, 3575621.2963617644, 3575621.2963617644 
8.0742834073, 3687606.7610867014, 3687606.7610867014 
7.9038887132, 3755633.5771504357, 3755633.5771504357 
7.7139661357, 3594524.6784191621, 3594524.6784191621 
7.4982191729, 3376641.5759953419, 3376641.5759953419 
7.2838517008, 3386008.3868030636, 3386008.3868030636 
7.0937078811, 3414539.5535216858, 3414539.5535216858 
6.8726160613, 3427632.4657392600, 3427632.4657392600 
6.6637790291, 3479002.4919723249, 3479002.4919723249 
6.5152946542, 3345485.4316771510, 3345485.4316771510 
6.2974275009, 2901967.2188156703, 2901967.2188156703 
6.0639136499, 2974373.7653681911, 2974373.7653681911 
5.8990089665, 3150030.9012786150, 3150030.9012786150 
5.7593733802, 3186028.7972517139, 3186028.7972517139 
5.5721171259, 3426549.5827114061, 3426549.5827114061 
5.3790914715, 3763574.5284705674, 3763574.5284705674 
5.2646818816, 3964381.1475566803, 3964381.1475566803 
5.1490654446, 4314552.0364560792, 4314552.0364560792 
4.9997500125, 4695477.2086683000, 4695477.2086683000 
4.8816206981, 4826071.9413838098, 4826071.9413838098 
4.8274197441, 4751699.1014758814, 4751699.1014758814 
4.7963931124, 4506258.0629380327, 4506258.0629380327 
4.7498040706, 4506258.0629380327, 4506258.0629380327 
4.6999107017, 4506258.0629380327, 4506258.0629380327 
4.6623306991, 4506258.0629380327, 4506258.0629380327 
4.6050056411, 4882293.8341913903, 4882293.8341913903 
4.5040987298, 5066859.2312296797, 5066859.2312296797 
4.3952180028, 4506258.0629380327, 4506258.0629380327 
4.3007053157, 3225821.1068899874, 3225821.1068899874 
4.2018572209, 2445640.8736691335, 2445640.8736691335 
4.0736516213, 2334803.3259361251, 2334803.3259361251 
3.9493690883, 1730321.3308264269, 1823229.0206230646 
3.8493369517, 1737154.4321187800, 1825653.7595243619 
3.7493204357, 2101376.6949338913, 2103493.6068429430 
3.6621317269, 2310905.7396762744, 2310905.7396762744 
3.5871222312, 2378719.5892092162, 2378719.5892092162 
3.5131479562, 2445640.8736691335, 2445640.8736691335 
3.4380801760, 2517131.0546959504, 2517131.0546959504 
3.3633795237, 2622311.7795947762, 2622311.7795947762 
3.3078354352, 2684612.3595865071, 2684612.3595865071 
3.2690688875, 2737182.3228680459, 2737182.3228680459 
3.2309394764, 2840195.8161134119, 2840195.8161134119 
3.1934342991, 2879782.2163454522, 2879782.2163454522 
3.1559181355, 2928759.9144444442, 2928759.9144444442 
3.1184220784, 2968382.3193105287, 2968382.3193105287 
3.0847773948, 3093929.5235119737, 3093929.5235119737 
3.0547642868, 3100251.1730516944, 3100251.1730516944 
3.0144770259, 3129626.3889639848, 3129626.3889639848 
2.9647418080, 3211714.0369347357, 3211714.0369347357 
2.9085832291, 3192004.6573984083, 3192004.6573984083 
2.8468129929, 3236989.7430200377, 3236989.7430200377 
2.7874564460, 3148927.4090690007, 3148927.4090690007 
2.7303754266, 3162161.9101206623, 3162161.9101206623 
2.6755852843, 3036619.3543675216, 3036619.3543675216 
2.6229508197, 2931762.8403746174, 2931762.8403746174 
2.5735719892, 3129626.3889639848, 3129626.3889639848 
2.5271989790, 3169345.4549824828, 3169345.4549824828 
2.4816051022, 3081742.5924353804, 3081742.5924353804 
2.4367956138, 2860954.7625737363, 2860954.7625737363 
2.3941773607, 2620987.4664725126, 2620987.4664725126 
2.3536057240, 2523386.8346221005, 2523386.8346221005 
2.3143326622, 2529776.4131376469, 2529776.4131376469 
2.2764782881, 1843142.7607668645, 1843142.7607668645 
2.2400179201, 1644726.5362261855, 1729225.4761438889 
2.2089318158, 1617621.1192615065, 1725708.4501318058 
2.1828222801, 1611930.4756164688, 1736450.3098195193 
2.1625245311, 1646954.7153491399, 1775308.4266847190 
2.1477317268, 1811222.5467036264, 1894564.4616783906 
2.1365352876, 1989152.5122900594, 2060980.8385639484 
2.1288258993, 2212660.4346127589, 2231900.3182525444 
2.1135616684, 2300869.9638997461, 2300869.9638997461 
2.0910659209, 2372392.5843135640, 2372392.5843135640 
2.0698469866, 2436039.8742932146, 2436039.8742932146 
2.0498419059, 2471357.4029200580, 2471357.4029200580 
2.0298386278, 2536073.9507239582, 2536073.9507239582 
2.0098482565, 2572103.2172963135, 2572103.2172963135 
1.9820328720, 2594897.5096933865, 2594897.5096933865 
1.9470499759, 2532611.3027455900, 2532611.3027455900 
1.9162686417, 2483828.2092735688, 2483828.2092735688 
1.8893502052, 2539198.2387944004, 2539198.2387944004 
1.8630647415, 2647365.5446432489, 2647365.5446432489 
1.8373909049, 2565469.9129107883, 2565469.9129107883 
1.8123165030, 2558840.5626512705, 2558840.5626512705 
1.7883648980, 2477324.6391301639, 2477324.6391301639 
1.7655678949, 2384607.5013168287, 2384607.5013168287 
1.7404622668, 2265329.9554434288, 2265329.9554434288 
1.7132675439, 1680967.8492320422, 1750913.8679478732 
1.6915321899, 1294270.5143458650, 1559530.2779373410 
1.6748735470, 1208072.2459184672, 1518242.6389358826 
1.6597510373, 1222824.3313819892, 1518485.4526791580 
1.6460905350, 1284617.3981266713, 1567219.1031046493 
1.6274319937, 1351469.0292961248, 1584857.7682806121 
1.6040293217, 1508733.6192885435, 1676025.7829803668 
1.5836942837, 1689453.6611108447, 1788404.8624122138 
1.5671524839, 1832831.6779577902, 1878261.1210281539 
1.5522888499, 2039176.6212665080, 2039176.6212665080 
1.5375862970, 2248806.8795218463, 2248806.8795218463 
1.5225566772, 2307939.8674796848, 2307939.8674796848 
1.5060240964, 2307939.8674796848, 2307939.8674796848 
1.4880952381, 2334803.3259361251, 2334803.3259361251 
1.4705882353, 2350295.5896283295, 2350295.5896283295 
1.4524328250, 2362695.1324944794, 2362695.1324944794 
1.4336917563, 2400464.0160909411, 2400464.0160909411 
1.4159292035, 2394060.7148354626, 2394060.7148354626 
1.4000700035, 2350142.7364117885, 2350142.7364117885 
1.3864818024, 2328692.5083338642, 2328692.5083338642 
1.3740982480, 2310800.3614831767, 2310800.3614831767 
1.3582896417, 2353155.3235340528, 2353155.3235340528 
1.3392976723, 2337882.2270830846, 2337882.2270830846 
1.3184567464, 1335533.8707497856, 1549719.2522063858 
1.2959621061, 1097140.2490338930, 1460538.8798254551 
1.2760676699, 1009300.5050620886, 1470800.7089695435 
1.2585700756, 1093272.1690714273, 1512597.7859736132 
1.2410604862, 1082807.0656555956, 1504715.5050793490 
1.2235596409, 1125686.2255887107, 1499085.4398335495 
1.2060507566, 1418738.6842297297, 1620516.1604489435 
1.1885554001, 1674940.8398247976, 1734454.8623830406 
1.1692111625, 1685051.6693831712, 1734454.8623830406 
1.1482209751, 1628074.1221278422, 1713622.1288731059 
1.1256127554, 1821163.1470490666, 1831842.1724759249 
1.1016188289, 1728956.0442194236, 1813161.4337652875 
