# FORPRINT: Thu Feb 23 22:02:41 2017
#  lam[um]   F2/F1    F2/F1err-  F2/F1err+
   0.30000   0.00089  -0.00047   0.00139
   0.30100   0.00087  -0.00044   0.00125
   0.30200   0.00098  -0.00052   0.00150
   0.30300   0.00109  -0.00060   0.00175
   0.30400   0.00113  -0.00061   0.00174
   0.30500   0.00117  -0.00062   0.00173
   0.30600   0.00144  -0.00085   0.00236
   0.30700   0.00170  -0.00107   0.00298
   0.30800   0.00161  -0.00099   0.00273
   0.30900   0.00151  -0.00090   0.00248
   0.31000   0.00216  -0.00139   0.00345
   0.31100   0.00278  -0.00185   0.00437
   0.31200   0.00259  -0.00168   0.00398
   0.31300   0.00239  -0.00151   0.00359
   0.31400   0.00303  -0.00189   0.00406
   0.31500   0.00369  -0.00230   0.00454
   0.31600   0.00417  -0.00251   0.00476
   0.31700   0.00462  -0.00271   0.00496
   0.31800   0.00420  -0.00246   0.00466
   0.31900   0.00374  -0.00219   0.00433
   0.32000   0.00366  -0.00208   0.00409
   0.32100   0.00359  -0.00198   0.00388
   0.32200   0.00369  -0.00199   0.00386
   0.32300   0.00382  -0.00200   0.00383
   0.32400   0.00499  -0.00271   0.00483
   0.32500   0.00592  -0.00326   0.00563
   0.32600   0.00653  -0.00357   0.00602
   0.32700   0.00706  -0.00384   0.00636
   0.32800   0.00761  -0.00399   0.00642
   0.32900   0.00818  -0.00415   0.00648
   0.33000   0.00725  -0.00367   0.00587
   0.33100   0.00632  -0.00319   0.00526
   0.33200   0.00653  -0.00325   0.00537
   0.33300   0.00673  -0.00331   0.00547
   0.33400   0.00650  -0.00317   0.00527
   0.33500   0.00626  -0.00304   0.00506
   0.33600   0.00519  -0.00244   0.00422
   0.33700   0.00392  -0.00172   0.00321
   0.33800   0.00418  -0.00181   0.00335
   0.33900   0.00441  -0.00189   0.00348
   0.34000   0.00451  -0.00190   0.00348
   0.34100   0.00461  -0.00191   0.00349
   0.34200   0.00498  -0.00210   0.00375
   0.34300   0.00533  -0.00228   0.00400
   0.34400   0.00516  -0.00226   0.00399
   0.34500   0.00499  -0.00225   0.00399
   0.34600   0.00489  -0.00220   0.00402
   0.34700   0.00480  -0.00216   0.00405
   0.34800   0.00571  -0.00262   0.00468
   0.34900   0.00658  -0.00306   0.00527
   0.35000   0.00755  -0.00343   0.00562
   0.35100   0.00849  -0.00379   0.00596
   0.35200   0.00823  -0.00360   0.00562
   0.35300   0.00796  -0.00340   0.00527
   0.35400   0.00882  -0.00365   0.00549
   0.35500   0.00958  -0.00388   0.00569
   0.35600   0.00737  -0.00295   0.00456
   0.35700   0.00471  -0.00182   0.00319
   0.35800   0.00484  -0.00197   0.00351
   0.35900   0.00496  -0.00212   0.00384
   0.36000   0.00609  -0.00260   0.00451
   0.36100   0.00711  -0.00303   0.00511
   0.36200   0.00788  -0.00327   0.00534
   0.36300   0.00863  -0.00352   0.00557
   0.36400   0.00980  -0.00395   0.00600
   0.36500   0.01117  -0.00461   0.00658
   0.36600   0.01252  -0.00499   0.00697
   0.36700   0.01386  -0.00536   0.00736
   0.36800   0.01217  -0.00475   0.00682
   0.36900   0.01038  -0.00410   0.00624
   0.37000   0.00917  -0.00374   0.00598
   0.37100   0.00805  -0.00340   0.00575
   0.37200   0.00620  -0.00252   0.00441
   0.37300   0.00406  -0.00150   0.00285
   0.37400   0.00434  -0.00161   0.00303
   0.37500   0.00459  -0.00171   0.00320
   0.37600   0.00713  -0.00263   0.00423
   0.37700   0.00936  -0.00344   0.00515
   0.37800   0.00957  -0.00349   0.00514
   0.37900   0.00977  -0.00353   0.00514
   0.38000   0.00874  -0.00308   0.00455
   0.38100   0.00775  -0.00265   0.00400
   0.38200   0.00648  -0.00215   0.00332
   0.38300   0.00461  -0.00141   0.00232
   0.38400   0.00534  -0.00165   0.00256
   0.38500   0.00586  -0.00182   0.00273
   0.38600   0.00560  -0.00173   0.00265
   0.38700   0.00535  -0.00164   0.00258
   0.38800   0.00619  -0.00209   0.00341
   0.38900   0.00707  -0.00255   0.00428
   0.39000   0.00840  -0.00310   0.00492
   0.39100   0.00957  -0.00358   0.00548
   0.39200   0.00853  -0.00310   0.00493
   0.39300   0.00667  -0.00225   0.00396
   0.39400   0.00830  -0.00300   0.00494
   0.39500   0.00933  -0.00346   0.00556
   0.39600   0.00912  -0.00333   0.00543
   0.39700   0.00883  -0.00313   0.00525
   0.39800   0.01282  -0.00452   0.00650
   0.39900   0.01504  -0.00530   0.00720
   0.40000   0.01603  -0.00539   0.00716
   0.40100   0.01697  -0.00548   0.00712
   0.40200   0.01578  -0.00528   0.00703
   0.40300   0.01462  -0.00508   0.00693
   0.40400   0.01461  -0.00491   0.00672
   0.40500   0.01461  -0.00473   0.00650
   0.40600   0.01371  -0.00447   0.00628
   0.40700   0.01280  -0.00420   0.00606
   0.40800   0.01622  -0.00515   0.00689
   0.40900   0.01943  -0.00603   0.00766
   0.41000   0.01768  -0.00588   0.00802
   0.41100   0.01582  -0.00571   0.00839
   0.41200   0.01545  -0.00536   0.00770
   0.41300   0.01511  -0.00503   0.00707
   0.41400   0.01442  -0.00474   0.00674
   0.41500   0.01375  -0.00446   0.00642
   0.41600   0.01418  -0.00466   0.00671
   0.41700   0.01461  -0.00485   0.00701
   0.41800   0.01477  -0.00478   0.00678
   0.41900   0.01493  -0.00470   0.00655
   0.42000   0.01435  -0.00487   0.00683
   0.42100   0.01378  -0.00504   0.00712
   0.42200   0.01194  -0.00482   0.00721
   0.42300   0.01003  -0.00459   0.00730
   0.42400   0.01219  -0.00488   0.00723
   0.42500   0.01430  -0.00517   0.00717
   0.42600   0.01410  -0.00489   0.00688
   0.42700   0.01389  -0.00461   0.00659
   0.42800   0.01429  -0.00463   0.00650
   0.42900   0.01471  -0.00465   0.00640
   0.43000   0.01551  -0.00461   0.00623
   0.43100   0.01643  -0.00456   0.00602
   0.43200   0.01871  -0.00534   0.00695
   0.43300   0.02050  -0.00595   0.00768
   0.43400   0.02219  -0.00621   0.00780
   0.43500   0.02398  -0.00648   0.00793
   0.43600   0.02308  -0.00628   0.00772
   0.43700   0.02229  -0.00611   0.00754
   0.43800   0.02072  -0.00573   0.00725
   0.43900   0.01905  -0.00533   0.00695
   0.44000   0.01906  -0.00542   0.00713
   0.44100   0.01908  -0.00551   0.00729
   0.44200   0.02013  -0.00594   0.00774
   0.44300   0.02115  -0.00635   0.00817
   0.44400   0.02168  -0.00636   0.00810
   0.44500   0.02222  -0.00636   0.00803
   0.44600   0.02335  -0.00653   0.00815
   0.44700   0.02444  -0.00669   0.00827
   0.44800   0.02494  -0.00681   0.00838
   0.44900   0.02544  -0.00693   0.00850
   0.45000   0.02728  -0.00733   0.00876
   0.45100   0.02899  -0.00771   0.00900
   0.45200   0.02702  -0.00744   0.00891
   0.45300   0.02490  -0.00714   0.00882
   0.45400   0.02621  -0.00732   0.00889
   0.45500   0.02749  -0.00750   0.00897
   0.45600   0.02814  -0.00752   0.00895
   0.45700   0.02876  -0.00755   0.00892
   0.45800   0.02867  -0.00755   0.00891
   0.45900   0.02858  -0.00755   0.00890
   0.46000   0.02871  -0.00754   0.00890
   0.46100   0.02883  -0.00753   0.00890
   0.46200   0.02906  -0.00755   0.00888
   0.46300   0.02929  -0.00757   0.00887
   0.46400   0.02880  -0.00761   0.00899
   0.46500   0.02832  -0.00765   0.00910
   0.46600   0.02940  -0.00779   0.00913
   0.46700   0.03046  -0.00792   0.00917
   0.46800   0.03018  -0.00796   0.00925
   0.46900   0.02988  -0.00799   0.00932
   0.47000   0.02955  -0.00801   0.00944
   0.47100   0.02921  -0.00803   0.00956
   0.47200   0.02871  -0.00808   0.00966
   0.47300   0.02824  -0.00813   0.00976
   0.47400   0.02797  -0.00823   0.00995
   0.47500   0.02771  -0.00833   0.01013
   0.47600   0.02677  -0.00850   0.01046
   0.47700   0.02583  -0.00867   0.01079
   0.47800   0.02656  -0.00870   0.01071
   0.47900   0.02730  -0.00873   0.01064
   0.48000   0.02897  -0.00863   0.01025
   0.48100   0.03065  -0.00854   0.00985
   0.48200   0.03067  -0.00861   0.00998
   0.48300   0.03069  -0.00867   0.01010
   0.48400   0.03192  -0.00862   0.00998
   0.48500   0.03324  -0.00856   0.00985
   0.48600   0.03380  -0.00848   0.00986
   0.48700   0.03443  -0.00839   0.00987
   0.48800   0.03266  -0.00811   0.00959
   0.48900   0.03116  -0.00786   0.00935
   0.49000   0.03119  -0.00795   0.00947
   0.49100   0.03121  -0.00804   0.00960
   0.49200   0.03030  -0.00789   0.00957
   0.49300   0.02937  -0.00773   0.00955
   0.49400   0.02934  -0.00800   0.00984
   0.49500   0.02932  -0.00827   0.01012
   0.49600   0.02876  -0.00836   0.01028
   0.49700   0.02821  -0.00844   0.01043
   0.49800   0.02745  -0.00825   0.01038
   0.49900   0.02664  -0.00806   0.01032
   0.50000   0.02557  -0.00785   0.01025
   0.50100   0.02448  -0.00765   0.01018
   0.50200   0.02497  -0.00779   0.01031
   0.50300   0.02544  -0.00792   0.01043
   0.50400   0.02458  -0.00768   0.01033
   0.50500   0.02372  -0.00745   0.01023
   0.50600   0.02319  -0.00752   0.01053
   0.50700   0.02268  -0.00758   0.01081
   0.50800   0.02243  -0.00741   0.01058
   0.50900   0.02218  -0.00723   0.01035
   0.51000   0.02222  -0.00717   0.01029
   0.51100   0.02226  -0.00711   0.01022
   0.51200   0.02191  -0.00702   0.01020
   0.51300   0.02156  -0.00694   0.01017
